"legacy_path","fallstudie_id","projekt_id","bauobjekt_id","action","target_primary","target_secondary"
"fallstudie\Be_Ware.md","Be_Ware",,,"keep_or_split_case","fallstudie/Be_Ware",""
"fallstudie\BIZH_Reallabor.md","BIZH_Reallabor",,,"keep_or_split_case","fallstudie/BIZH_Reallabor",""
"fallstudie\CRCLR_House.md","CRCLR_House",,,"keep_or_split_case","fallstudie/CRCLR_House",""
"fallstudie\ELEMENTA.md","ELEMENTA",,,"keep_or_split_case","fallstudie/ELEMENTA",""
"fallstudie\Halle_2.md","Halle_2",,,"keep_or_split_case","fallstudie/Halle_2",""
"fallstudie\Haus_der_Materialisierung.md","Haus_der_Materialisierung",,,"keep_or_split_case","fallstudie/Haus_der_Materialisierung",""
"fallstudie\index.md","index",,,"merge_into_index","fallstudie/index",""
"fallstudie\Kunst_Stoffe_Berlin.md","Kunst_Stoffe_Berlin",,,"keep_or_split_case","fallstudie/Kunst_Stoffe_Berlin",""
"fallstudie\Opalis.md","Opalis_Plattformfall",,,"keep_or_split_case","software_digitaltool/Opalis","fallstudie/Opalis_Plattformfall"
"fallstudie\Permanently_Temporary_Pavilion.md","Permanently_Temporary_Pavilion",,,"keep_or_split_case","fallstudie/Permanently_Temporary_Pavilion",""
"fallstudie\PREUSE.md","PREUSE","PREUSE",,"keep_or_split_case","foerderprogramm/PREUSE","projekt/PREUSE"
"fallstudie\Rotor_DC_Brussels_Model.md","Rotor_DC_Brussels_Model",,,"keep_or_split_case","fallstudie/Rotor_DC_Brussels_Model",""
"gebaeude\Altes_Hobelwerk_Winterthur.md","Altes_Hobelwerk_Winterthur","Altes_Hobelwerk_Winterthur","Altes_Hobelwerk_Winterthur","split_into_case_graph","fallstudie/Altes_Hobelwerk_Winterthur","projekt/Altes_Hobelwerk_Winterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Areal_Walkeweg_Nord.md","Areal_Walkeweg_Nord","Areal_Walkeweg_Nord","Areal_Walkeweg_Nord","split_into_case_graph","fallstudie/Areal_Walkeweg_Nord","projekt/Areal_Walkeweg_Nord; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Bestandshalle_CRCLR_House.md","Bestandshalle_CRCLR_House","Bestandshalle_CRCLR_House","Bestandshalle_CRCLR_House","split_into_case_graph","fallstudie/Bestandshalle_CRCLR_House","projekt/Bestandshalle_CRCLR_House; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\BOELL_LAB_Berlin.md","BOELL_LAB_Berlin","BOELL_LAB_Berlin","BOELL_LAB_Berlin","split_into_case_graph","fallstudie/BOELL_LAB_Berlin","projekt/BOELL_LAB_Berlin; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Da_Vinci_Business_District.md","Da_Vinci_Business_District","Da_Vinci_Business_District","Da_Vinci_Business_District","split_into_case_graph","fallstudie/Da_Vinci_Business_District","projekt/Da_Vinci_Business_District; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Elementa.md","Elementa","Elementa","Elementa","split_into_case_graph","fallstudie/Elementa","projekt/Elementa; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md","ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal","ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal","ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal","split_into_case_graph","fallstudie/ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal","projekt/ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
