"source","relation","target","review_reason","suggested_source","suggested_relation","suggested_target","field","raw_label","confidence","resolution_rule","legacy_path"
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","measured_on_bauobjekt","bauobjekt/ELYS_Kultur_Gewerbehaus_Basel","source_manual_review","","measured_on_bauobjekt","bauobjekt/ELYS_Kultur_Gewerbehaus_Basel","bauobjekt","ELYS_Kultur_Gewerbehaus_Basel","structural","frontmatter","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","measured_on_bauobjekt","bauobjekt/Timber_Square_London","source_manual_review","","measured_on_bauobjekt","bauobjekt/Timber_Square_London","bauobjekt","Timber_Square_London","structural","frontmatter","Gebäude\Timber_Square_London.md"
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","belongs_to_fallstudie","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","source_manual_review","","belongs_to_fallstudie","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","fallstudie","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","structural","frontmatter","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","belongs_to_fallstudie","fallstudie/Timber_Square_London","source_manual_review","","belongs_to_fallstudie","fallstudie/Timber_Square_London","fallstudie","fallstudie/Timber_Square_London","structural","frontmatter","Gebäude\Timber_Square_London.md"
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","measures_kennwertdefinition","kennwertdefinition/Bauteilanzahl","source_manual_review","","measures_kennwertdefinition","kennwertdefinition/Bauteilanzahl","kennwert_label","Fenster","rule_medium","kennwert_bauteilanzahl","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","measures_kennwertdefinition","kennwertdefinition/Materialmenge","source_manual_review","","measures_kennwertdefinition","kennwertdefinition/Materialmenge","kennwert_label","Wiederverwendete Stahlträger","rule_medium","kennwert_materialmenge","Gebäude\Timber_Square_London.md"
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","measures_kennwertdefinition","kennwertdefinition/Wiederverwendungsquote","source_manual_review","","measures_kennwertdefinition","kennwertdefinition/Wiederverwendungsquote","kennwert_label","Wiederverwendete Stahlträger","rule_medium","kennwert_reuse_quote","Gebäude\Timber_Square_London.md"
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","belongs_to_projekt","projekt/ELYS_Kultur_Gewerbehaus_Basel","source_manual_review","","belongs_to_projekt","projekt/ELYS_Kultur_Gewerbehaus_Basel","projekt","ELYS_Kultur_Gewerbehaus_Basel","structural","frontmatter","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","belongs_to_projekt","projekt/Timber_Square_London","source_manual_review","","belongs_to_projekt","projekt/Timber_Square_London","projekt","Timber_Square_London","structural","frontmatter","Gebäude\Timber_Square_London.md"
"reuse_kette/index","belongs_to_fallstudie","fallstudie/index","source_not_imported; target_not_imported","","belongs_to_fallstudie","","fallstudie","fallstudie/index","structural","frontmatter",""
