"legacy_path","legacy_type","title","action","target_primary","target_secondary","content_strategy","risk_flags"
"_extract\Gebaeude_Entity_Extraction.md","""extraction_report""","Gebaeude Entity Extraction","archive_as_source","90_import_rohdaten_or_quelle/interne_extraktion","","Use as staging/evidence for extraction; do not create graph nodes directly.","generated_content_may_duplicate_cases"
"abbruchmethode.md","Type","Abbruchmethode","merge_into_index","rueckbauverfahren/index","","Root category overview/type file; merge into new target index or archive as old schema note.","old_schema_file_not_content_node"
"abbruchmethode\Ausbau_von_Bauteilen.md","Abbruchmethode","","move_as_knot","rueckbauverfahren/Ausbau_von_Bauteilen","","Move full prose to knot index; rename Abbruchmethode to Rueckbauverfahren.",""
"abbruchmethode\Betonfräsen.md","Abbruchmethode","","move_as_knot","rueckbauverfahren/Betonfraesen","","Move full prose to knot index; rename Abbruchmethode to Rueckbauverfahren.",""
"abbruchmethode\Demontage.md","Abbruchmethode","","move_as_knot","rueckbauverfahren/Demontage","","Move full prose to knot index; rename Abbruchmethode to Rueckbauverfahren.",""
"abbruchmethode\index.md","Abbruchmethode","Abbruchmethoden – Index","merge_into_index","rueckbauverfahren/index","","Preserve category overview, gaps, and important links in target entity index; do not create content node.","index_content_may_contain_unique_gaps_or_cluster_lists"
"abbruchmethode\Selektiver_Rueckbau.md","Abbruchmethode","","move_as_knot","rueckbauverfahren/Selektiver_Rueckbau","","Move full prose to knot index; rename Abbruchmethode to Rueckbauverfahren.",""
"abbruchmethode\Zerstoerungsarme_Bergung.md","Abbruchmethode","","move_as_knot","rueckbauverfahren/Zerstoerungsarme_Bergung","","Move full prose to knot index; rename Abbruchmethode to Rueckbauverfahren.",""
"AGENTS.md","","","keep_meta","meta/repo_instruction","","Keep outside graph as repository instruction.",""
"akteur\01_oeffentliche_institutionen_foerderung\BBSR_Zukunft_Bau.md","","","move_as_core","akteur/BBSR_Zukunft_Bau","akteurtyp/oeffentliche_institutionen_foerderung","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\01_oeffentliche_institutionen_foerderung\BIM_Berlin.md","","","move_as_core","akteur/BIM_Berlin","akteurtyp/oeffentliche_institutionen_foerderung","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Bauakademie.md","","","move_as_core","akteur/Bundesstiftung_Bauakademie","akteurtyp/oeffentliche_institutionen_foerderung","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Baukultur.md","","","move_as_core","akteur/Bundesstiftung_Baukultur","akteurtyp/oeffentliche_institutionen_foerderung","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\01_oeffentliche_institutionen_foerderung\ReUse_Berlin.md","","","move_as_core","akteur/ReUse_Berlin","akteurtyp/oeffentliche_institutionen_foerderung","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\01_oeffentliche_institutionen_foerderung\Umweltbundesamt.md","","","move_as_core","akteur/Umweltbundesamt","akteurtyp/oeffentliche_institutionen_foerderung","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\02_kammern_verbaende_ngos_netzwerke\Architects_for_Future_Deutschland.md","","","move_as_core","akteur/Architects_for_Future_Deutschland","akteurtyp/kammern_verbaende_ngos_netzwerke","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\02_kammern_verbaende_ngos_netzwerke\Architektenkammer_Berlin_A_Wie_Zirkulaer.md","","","move_as_core","akteur/Architektenkammer_Berlin_A_Wie_Zirkulaer","akteurtyp/kammern_verbaende_ngos_netzwerke","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\02_kammern_verbaende_ngos_netzwerke\BDA_Bund_Deutscher_Architektinnen_Architekten.md","","","move_as_core","akteur/BDA_Bund_Deutscher_Architektinnen_Architekten","akteurtyp/kammern_verbaende_ngos_netzwerke","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\02_kammern_verbaende_ngos_netzwerke\C2C_NGO.md","","","move_as_core","akteur/C2C_NGO","akteurtyp/kammern_verbaende_ngos_netzwerke","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\02_kammern_verbaende_ngos_netzwerke\Circular_Berlin.md","","","move_as_core","akteur/Circular_Berlin","akteurtyp/kammern_verbaende_ngos_netzwerke","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\02_kammern_verbaende_ngos_netzwerke\DGNB.md","","","move_as_core","akteur/DGNB","akteurtyp/kammern_verbaende_ngos_netzwerke","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\02_kammern_verbaende_ngos_netzwerke\Phase_Nachhaltigkeit.md","","","move_as_core","akteur/Phase_Nachhaltigkeit","akteurtyp/kammern_verbaende_ngos_netzwerke","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\02_kammern_verbaende_ngos_netzwerke\re_source_Stiftung.md","","re!source Stiftung e.V.","move_as_core","akteur/re_source_Stiftung","akteurtyp/kammern_verbaende_ngos_netzwerke","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\03_forschung_lehre_wissenstransfer\Bauhaus_Erde.md","","","move_as_core","akteur/Bauhaus_Erde","akteurtyp/forschung_lehre_wissenstransfer","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\03_forschung_lehre_wissenstransfer\Natural_Building_Lab.md","","","move_as_core","akteur/Natural_Building_Lab","akteurtyp/forschung_lehre_wissenstransfer","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\03_forschung_lehre_wissenstransfer\VDI_ZRE.md","","","move_as_core","akteur/VDI_ZRE","akteurtyp/forschung_lehre_wissenstransfer","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\03_forschung_lehre_wissenstransfer\Wuppertal_Institut.md","","","move_as_core","akteur/Wuppertal_Institut","akteurtyp/forschung_lehre_wissenstransfer","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\baubuero_in_situ_zirkular.md","","baubüro in situ + Zirkular","move_as_core","akteur/baubuero_in_situ_zirkular","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\Bellastock.md","","Bellastock","move_as_core","akteur/Bellastock","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\Circular_Structural_Design.md","","Circular Structural Design","move_as_core","akteur/Circular_Structural_Design","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\CITYFOERSTER.md","","","move_as_core","akteur/CITYFOERSTER","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\Huetten_und_Palaeste.md","","Huetten_und_Palaeste","move_as_core","akteur/Huetten_und_Palaeste","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\Lendager.md","","Lendager","move_as_core","akteur/Lendager","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\LXSY_Architektur.md","","LXSY Architektur","move_as_core","akteur/LXSY_Architektur","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\PARABASE.md","","","move_as_core","akteur/PARABASE","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\Rotor.md","","Rotor","move_as_core","akteur/Rotor","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\Superuse_Studios.md","","Superuse Studios","move_as_core","akteur/Superuse_Studios","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\Werner_Sobek.md","","","move_as_core","akteur/Werner_Sobek","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\04_planung_architektur_ingenieurwesen\ZRS_Architekten_Ingenieure.md","","ZRS Architekten Ingenieure","move_as_core","akteur/ZRS_Architekten_Ingenieure","akteurtyp/planung_architektur_ingenieurwesen","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\05_reuse_beratung_prozessdienstleister\Concular.md","","","semantic_split","akteur/Concular","software_digitaltool/Concular_Plattform; software_digitaltool/Restado; methode/Pre_Deconstruction_Audit; datenmodell/Gebaeuderessourcenpass; beschaffungsweg/Digitale_Plattform","Hybrid actor/platform/process profile. Keep Concular as actor, but extract platform, audit, marketplace, resource-pass, and matching functions.","hybrid_actor_platform_profile;duplicate_with_werkzeug_Concular_Plattform_and_bauteilboerse_restado"
"akteur\05_reuse_beratung_prozessdienstleister\Drees_und_Sommer.md","","Drees & Sommer","move_as_core","akteur/Drees_und_Sommer","akteurtyp/reuse_beratung_prozessdienstleister","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\05_reuse_beratung_prozessdienstleister\EPEA.md","","","move_as_core","akteur/EPEA","akteurtyp/reuse_beratung_prozessdienstleister","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\05_reuse_beratung_prozessdienstleister\Zirkular_GmbH.md","","Zirkular GmbH","move_as_core","akteur/Zirkular_GmbH","akteurtyp/reuse_beratung_prozessdienstleister","Actor node; old subfolder becomes akteurtyp/role knot.",""
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","","","semantic_split","akteur/Bauteilboerse_Bremen","software_digitaltool/Bauteilboerse_Bremen; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","Marketplace actor/operator profile. Keep actor identity, but also create/link platform and procurement/source knots when a digital/market function exists.","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","","Bauteilbörse Hannover","semantic_split","akteur/Bauteilboerse_Hannover","software_digitaltool/Bauteilboerse_Hannover; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","Marketplace actor/operator profile. Keep actor identity, but also create/link platform and procurement/source knots when a digital/market function exists.","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","","","semantic_split","akteur/Bauteilnetz_Deutschland","software_digitaltool/Bauteilnetz_Deutschland; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","Marketplace actor/operator profile. Keep actor identity, but also create/link platform and procurement/source knots when a digital/market function exists.","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
