"target_primary","target_index","legacy_source_count","legacy_paths"
"rueckbauverfahren/Ausbau_von_Bauteilen","_graph\rueckbauverfahren\Ausbau_von_Bauteilen\index.md","1","abbruchmethode\Ausbau_von_Bauteilen.md"
"rueckbauverfahren/Betonfraesen","_graph\rueckbauverfahren\Betonfraesen\index.md","1","abbruchmethode\Betonfräsen.md"
"rueckbauverfahren/Demontage","_graph\rueckbauverfahren\Demontage\index.md","1","abbruchmethode\Demontage.md"
"rueckbauverfahren/Selektiver_Rueckbau","_graph\rueckbauverfahren\Selektiver_Rueckbau\index.md","1","abbruchmethode\Selektiver_Rueckbau.md"
"rueckbauverfahren/Zerstoerungsarme_Bergung","_graph\rueckbauverfahren\Zerstoerungsarme_Bergung\index.md","1","abbruchmethode\Zerstoerungsarme_Bergung.md"
"aufbereitungsverfahren/Drahtglasschneiden","_graph\aufbereitungsverfahren\Drahtglasschneiden\index.md","1","aufbereitungsmethode\Drahtglasschneiden.md"
"aufbereitungsverfahren/Entmoertelung_von_Fliesen","_graph\aufbereitungsverfahren\Entmoertelung_von_Fliesen\index.md","1","aufbereitungsmethode\Entmoertelung_von_Fliesen.md"
"aufbereitungsverfahren/Holzaufbereitung","_graph\aufbereitungsverfahren\Holzaufbereitung\index.md","1","aufbereitungsmethode\Holzaufbereitung.md"
"aufbereitungsverfahren/Leuchten_Refurbishment","_graph\aufbereitungsverfahren\Leuchten_Refurbishment\index.md","1","aufbereitungsmethode\Leuchten_Refurbishment.md"
"aufbereitungsverfahren/Qualitaetssicherung","_graph\aufbereitungsverfahren\Qualitaetssicherung\index.md","1","aufbereitungsmethode\Qualitaetssicherung.md"
"aufbereitungsverfahren/Rekonditionierung","_graph\aufbereitungsverfahren\Rekonditionierung\index.md","1","aufbereitungsmethode\Rekonditionierung.md"
"aufbereitungsverfahren/Reparatur","_graph\aufbereitungsverfahren\Reparatur\index.md","1","aufbereitungsmethode\Reparatur.md"
"bauteiltyp/Betonfertigteil","_graph\bauteiltyp\Betonfertigteil\index.md","1","bauteil\Betonfertigteil.md"
"bauteiltyp/Brettschichtholzstuetze","_graph\bauteiltyp\Brettschichtholzstuetze\index.md","1","bauteil\Brettschichtholzstuetze.md"
"bauteiltyp/Brettsperrholzdecke","_graph\bauteiltyp\Brettsperrholzdecke\index.md","1","bauteil\Brettsperrholzdecke.md"
"bauteiltyp/Dachtragwerk","_graph\bauteiltyp\Dachtragwerk\index.md","1","bauteil\Dachtragwerk.md"
"bauteiltyp/Deckenplatte","_graph\bauteiltyp\Deckenplatte\index.md","1","bauteil\Deckenplatte.md"
"bauteiltyp/Fachwerktraeger","_graph\bauteiltyp\Fachwerktraeger\index.md","1","bauteil\Fachwerktraeger.md"
"bauteiltyp/Fassade","_graph\bauteiltyp\Fassade\index.md","1","bauteil\Fassade.md"
"bauteiltyp/Fenster","_graph\bauteiltyp\Fenster\index.md","1","bauteil\Fenster.md"
"bauteiltyp/Feuerschutztuer","_graph\bauteiltyp\Feuerschutztuer\index.md","1","bauteil\Feuerschutztuer.md"
"bauteiltyp/Holzrahmenelement","_graph\bauteiltyp\Holzrahmenelement\index.md","1","bauteil\Holzrahmenelement.md"
"bauteiltyp/Leuchte","_graph\bauteiltyp\Leuchte\index.md","1","bauteil\Leuchte.md"
"bauteiltyp/Pfette","_graph\bauteiltyp\Pfette\index.md","1","bauteil\Pfette.md"
"bauteiltyp/Sanitaerobjekt","_graph\bauteiltyp\Sanitaerobjekt\index.md","1","bauteil\Sanitaerobjekt.md"
"bauteiltyp/Stuetze","_graph\bauteiltyp\Stuetze\index.md","1","bauteil\Stuetze.md"
"bauteiltyp/Traeger","_graph\bauteiltyp\Traeger\index.md","1","bauteil\Traeger.md"
"bauteiltyp/Treppe","_graph\bauteiltyp\Treppe\index.md","1","bauteil\Treppe.md"
"bauteiltyp/Treppenwange","_graph\bauteiltyp\Treppenwange\index.md","1","bauteil\Treppenwange.md"
"bauteiltyp/Wand","_graph\bauteiltyp\Wand\index.md","1","bauteil\Wand.md"
"datenmodell/Bauteil_ID","_graph\datenmodell\Bauteil_ID\index.md","1","datenmodell\Bauteil_ID.md"
"datenmodell/IFC","_graph\datenmodell\IFC\index.md","1","datenmodell\IFC.md"
"datenmodell/Klassifikation","_graph\datenmodell\Klassifikation\index.md","1","datenmodell\Klassifikation.md"
"datenmodell/Materialpass_Schema","_graph\datenmodell\Materialpass_Schema\index.md","1","datenmodell\Materialpass_Schema.md"
"datenmodell/Ontologie","_graph\datenmodell\Ontologie\index.md","1","datenmodell\Ontologie.md"
"datenmodell/Taxonomie","_graph\datenmodell\Taxonomie\index.md","1","datenmodell\Taxonomie.md"
"dokumenttyp/Auditbericht","_graph\dokumenttyp\Auditbericht\index.md","1","dokument\Auditbericht.md"
"dokumenttyp/Ausschreibungstext","_graph\dokumenttyp\Ausschreibungstext\index.md","1","dokument\Ausschreibungstext.md"
"dokumenttyp/Bauteilkatalog","_graph\dokumenttyp\Bauteilkatalog\index.md","1","dokument\Bauteilkatalog.md"
"dokumenttyp/Bauwerksdiagnose","_graph\dokumenttyp\Bauwerksdiagnose\index.md","1","dokument\Bauwerksdiagnose.md"
"dokumenttyp/Bestandsaufnahme","_graph\dokumenttyp\Bestandsaufnahme\index.md","1","dokument\Bestandsaufnahme.md"
"dokumenttyp/LCA","_graph\dokumenttyp\LCA\index.md","1","dokument\LCA.md"
"datenmodell/Materialdatenbank","_graph\datenmodell\Materialdatenbank\index.md","1","dokument\Materialdatenbank.md"
"dokumenttyp/Materialinventar","_graph\dokumenttyp\Materialinventar\index.md","1","dokument\Materialinventar.md"
"dokumenttyp/Materialpass","_graph\dokumenttyp\Materialpass\index.md","1","dokument\Materialpass.md"
"dokumenttyp/Materialsheet","_graph\dokumenttyp\Materialsheet\index.md","1","dokument\Materialsheet.md"
"dokumenttyp/Pre_Demolition_Audit","_graph\dokumenttyp\Pre_Demolition_Audit\index.md","1","dokument\Pre_Demolition_Audit.md"
"dokumenttyp/Publikation","_graph\dokumenttyp\Publikation\index.md","1","dokument\Publikation.md"
"dokumenttyp/ReUse_Toolkit","_graph\dokumenttyp\ReUse_Toolkit\index.md","1","dokument\ReUse_Toolkit.md"
"dokumenttyp/Reversibilitaetskonzept","_graph\dokumenttyp\Reversibilitaetskonzept\index.md","1","dokument\Reversibilitaetskonzept.md"
"dokumenttyp/Rueckbaukataster","_graph\dokumenttyp\Rueckbaukataster\index.md","1","dokument\Rueckbaukataster.md"
"dokumenttyp/Specification_Method","_graph\dokumenttyp\Specification_Method\index.md","1","dokument\Specification_Method.md"
"huerde/Ausschreibungsproblem","_graph\huerde\Ausschreibungsproblem\index.md","1","huerde\Ausschreibungsproblem.md"
"huerde/Brandschutzkonflikt","_graph\huerde\Brandschutzkonflikt\index.md","1","huerde\Brandschutzkonflikt.md"
"huerde/Datenluecke","_graph\huerde\Datenluecke\index.md","1","huerde\Datenluecke.md"
"huerde/Fehlende_Datenstandards","_graph\huerde\Fehlende_Datenstandards\index.md","1","huerde\Fehlende_Datenstandards.md"
"huerde/Fehlende_Lagerflaeche","_graph\huerde\Fehlende_Lagerflaeche\index.md","1","huerde\Fehlende_Lagerflaeche.md"
"huerde/Fehlende_Standardisierung","_graph\huerde\Fehlende_Standardisierung\index.md","1","huerde\Fehlende_Standardisierung.md"
