"source","case_id","legacy_path","value","relationship","confidence_source","note","raw_label","reason"
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","","","","","","","1 Broadgate + Cleveland Steel and Tubes","no_token_match"
"reuse_einsatz/55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","","","","","","","donor site 1 Broadgate, City of London","no_token_match"
"reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","","","","","","","Cleveland Steel and Tubes","no_token_match"
"reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","","","","","","","am Ort vorhanden","not_reusable_enough_for_has_beschaffungsweg"
"reuse_einsatz/55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern","","","","","","","neues Projekt","not_reusable_enough_for_has_beschaffungsweg"
"reuse_einsatz/55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern","","","","","","","neu, nicht als reuse belegt","not_reusable_enough_for_has_beschaffungsweg"
"reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","","","","","","","Behrensbau, Düsseldorf, über Concular","no_token_match"
"reuse_einsatz/AWM_Muenster_Circular_Office__002__WC_Trennw_nde","","","","","","","Behrensbau, Düsseldorf","no_token_match"
"reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","","","","","","","ReUse-Kabeltrassen und ReUse-LED-Leuchten","no_token_match"
"reuse_einsatz/AWM_Muenster_Circular_Office__006__Sideboard_Holzeinbauten","","","","","","","Deckenkonstruktion eines Supermarkts / Discounter-Auflösung","no_token_match"
"reuse_einsatz/AWM_Muenster_Circular_Office__007__Hanfkalksteine","","","","","","","neu/biobasiert","not_reusable_enough_for_has_beschaffungsweg"
"reuse_einsatz/AWM_Muenster_Circular_Office__009__Akustik_Baffeln","","","","","","","recycelte PET-Flaschen","not_reusable_enough_for_has_beschaffungsweg"
"reuse_einsatz/Association_house_Groeditz__001__Au_enwand_Fertigteile","","","","","","","Schule Typ Dresden","no_token_match"
"reuse_einsatz/Association_house_Groeditz__002__Innenwand_Fertigteile","","","","","","","Schule Typ Dresden","no_token_match"
"reuse_einsatz/Association_house_Groeditz__003__Innenwandrahmen","","","","","","","Schule Typ Dresden","no_token_match"
"reuse_einsatz/Association_house_Groeditz__004__Deckenelemente","","","","","","","Schule Typ Dresden","no_token_match"
"reuse_einsatz/Association_house_Groeditz__005__Sockel_Plinthenplatten","","","","","","","Schule Typ Dresden","no_token_match"
"reuse_einsatz/Association_house_Groeditz__006__Treppen","","","","","","","Schule Typ Dresden","no_token_match"
"reuse_einsatz/Association_house_Groeditz__007__WBS70_Paneele","","","","","","","weiteres Gebäude","no_token_match"
"reuse_einsatz/Association_house_Plauen__001__Decken_Bodenplatten","","","","","","","IW73/6-Wohnungsbau","no_token_match"
"reuse_einsatz/Association_house_Plauen__002__Au_enwandelemente","","","","","","","IW73/6-Wohnungsbau","no_token_match"
"reuse_einsatz/Association_house_Plauen__003__Innenwandelemente","","","","","","","IW73/6-Wohnungsbau","no_token_match"
"reuse_einsatz/Association_house_Plauen__004__Kellerwandelemente","","","","","","","IW73/6-Wohnungsbau","no_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","","","","","","","Lokale Abbruchstandorte im 35-mile-Radius; teilweise Brighton Railway Station","no_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__002__Curved_steel_sections","","","","","","","geplant als wiederverwendet, tatsächlich neu","not_reusable_enough_for_has_beschaffungsweg"
"reuse_einsatz/BedZED_London_Hackbridge__003__Holzst_nder_Wandst_nder","","","","","","","lokale Rückbau-/Reclaim-Quellen","no_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","","","","","","","wiederverwendet, Quelle unbekannt","no_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__005__Ger_strohre_als_Rampen_Gel_nder_Balustraden","","","","","","","Gerüstmaterial","no_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__006__Bordsteine","","","","","","","wiederverwendet","no_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__007__Natursteinplatten_paving_slabs","","","","","","","wiederverwendet geplant/teilweise unklar","no_token_match"
"reuse_einsatz/BedZED_London_Hackbridge__008__Recycling_Glas_Sand_unter_Pflaster","","","","","","","recycelt","not_reusable_enough_for_has_beschaffungsweg"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__001__zugeschnittene_Betonfertigteile","","","","","","","Berliner/Marzahner Plattenbau","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__002__Deckenplatten_als_Ursprungsbauteile","","","","","","","WBS70","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__003__Innenwandplatten_als_Ursprungsbauteile","","","","","","","WBS70","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__004__Treppe","","","","","","","Neubau","not_reusable_enough_for_has_beschaffungsweg"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__008__Dach","","","","","","","WBS70?","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","","","","","","","Berliner/Marzahner Plattenbau","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House__002__Deckenplatten","","","","","","","WBS70","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House__003__Innenwandplatten","","","","","","","WBS70","no_token_match"
"reuse_einsatz/Berlin_Schildow_Pilot_House__004__Treppe","","","","","","","Neubau","not_reusable_enough_for_has_beschaffungsweg"
