"target_primary","duplicate_count","legacy_path","action","risk_flags"
"software_digitaltool/index","5","bauteilbörse.md","merge_into_index","old_type_stub_only"
"software_digitaltool/index","5","software.md","merge_into_index","old_schema_file_not_content_node"
"software_digitaltool/index","5","tool.md","merge_into_index","old_type_stub_only"
"software_digitaltool/index","5","werkzeug.md","merge_into_index","old_schema_file_not_content_node"
"software_digitaltool/index","5","werkzeug\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"reuse_strategie/Design_for_Disassembly","3","methode\Design_for_Disassembly.md","move_as_knot",""
"reuse_strategie/Design_for_Disassembly","3","reuse_strategie\Design_for_Disassembly.md","move_as_knot",""
"reuse_strategie/Design_for_Disassembly","3","tragwerkssystem\Design_for_Disassembly.md","semantic_split","old_type_tragwerkssystem_overgeneralized"
"quelle/index","3","bericht.md","merge_into_index","old_schema_file_not_content_node"
"quelle/index","3","bericht\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"quelle/index","3","interview.md","merge_into_index","old_type_stub_only"
"bauweise_bausystem_tragwerk/index","3","tragwerkssystem.md","merge_into_index","old_schema_file_not_content_node"
"bauweise_bausystem_tragwerk/index","3","tragwerkssystem\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"bauweise_bausystem_tragwerk/index","3","tragwerkssystem\to_sort\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"methode/index","2","methode.md","merge_into_index","old_schema_file_not_content_node"
"methode/index","2","methode\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"norm/index","2","norm.md","merge_into_index","old_schema_file_not_content_node"
"norm/index","2","norm\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"ort/index","2","ort.md","merge_into_index","old_schema_file_not_content_node"
"ort/index","2","ort\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"kennwertdefinition/index","2","kennwert.md","merge_into_index","old_schema_file_not_content_node"
"kennwertdefinition/index","2","kennwert\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"huerde/index","2","huerde\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"huerde/index","2","hürde.md","merge_into_index","old_schema_file_not_content_node"
"fallstudie/K118_Kopfbau_Halle_118_Winterthur","2","gebaeude\K118_Kopfbau_Halle_118_Winterthur.md","split_into_case_graph",""
"fallstudie/K118_Kopfbau_Halle_118_Winterthur","2","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","split_into_case_graph","do_not_treat_file_as_single_gebaeude_only"
"material/index","2","material.md","merge_into_index","old_schema_file_not_content_node"
"material/index","2","material\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"logistik/index","2","logistik.md","merge_into_index","old_schema_file_not_content_node"
"logistik/index","2","logistik\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"leistungsanforderung/index","2","leistungsanforderung.md","merge_into_index","old_schema_file_not_content_node"
"leistungsanforderung/index","2","leistungsanforderung\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"software_digitaltool/Rhino","2","software\Rhino.md","move_as_core",""
"software_digitaltool/Rhino","2","werkzeug\Rhino.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/one_click_lca","2","software\one-click-lca\index.md","move_as_core","nested_index_is_content_node_not_category_index"
"software_digitaltool/one_click_lca","2","werkzeug\One_Click_Lca.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/klimaschutz_konfigurator","2","software\klimaschutz-konfigurator\index.md","move_as_core","nested_index_is_content_node_not_category_index"
"software_digitaltool/klimaschutz_konfigurator","2","werkzeug\Klimaschutz_Konfigurator.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"wirtschaft/index","2","wirtschaft.md","merge_into_index","old_schema_file_not_content_node"
"wirtschaft/index","2","wirtschaft\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"fuegung_verbindung/index","2","verbindung.md","merge_into_index","old_schema_file_not_content_node"
"fuegung_verbindung/index","2","verbindung\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"bauteiltyp/Tragende_Wand","2","tragwerkssystem\to_sort\Tragende_Wände_Kerne.md","semantic_review_split","unsorted_content_do_not_autoload"
"bauteiltyp/Tragende_Wand","2","tragwerkssystem\Tragende_Wand.md","semantic_split","old_type_tragwerkssystem_overgeneralized"
"pruefung_nachweis/index","2","pruefung\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"pruefung_nachweis/index","2","prüfung.md","merge_into_index","old_schema_file_not_content_node"
"prozessphase/index","2","prozessphase.md","merge_into_index","old_schema_file_not_content_node"
"prozessphase/index","2","prozessphase\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"bauaufgabe_intervention/Aufstockung","2","projekt\Aufstockung.md","semantic_move",""
"bauaufgabe_intervention/Aufstockung","2","tragwerkssystem\Aufstockung_in_Holzbauweise.md","semantic_split","old_type_tragwerkssystem_overgeneralized"
"schadstoff/index","2","schadstoff.md","merge_into_index","old_schema_file_not_content_node"
"schadstoff/index","2","schadstoff\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"reuse_strategie/index","2","reuse_strategie\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"reuse_strategie/index","2","reuse-strategie.md","merge_into_index","old_schema_file_not_content_node"
"rechtliche_bedingung/index","2","recht.md","merge_into_index","old_schema_file_not_content_node"
"rechtliche_bedingung/index","2","recht\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"software_digitaltool/cycle_up","2","bauteilboerse\cycle-up.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/cycle_up","2","werkzeug\Cycle_Up.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"bauteiltyp/Traeger","2","bauteil\Traeger.md","move_as_knot",""
"bauteiltyp/Traeger","2","tragwerkssystem\to_sort\Träger.md","semantic_review_split","unsorted_content_do_not_autoload"
