Von;Nach;Beschreibung
CSTB;Bellastock;CSTB und Bellastock gehörten zum FCRBE-Konsortium.
CSTB;Institut National de l'Économie Circulaire (INEC);CSTB und INEC gehörten zum LIFE-Waste2Build-Konsortium.
CSTB;Booster du Réemploi (A4MT);CSTB und Booster du Réemploi (A4MT) sind Partner im SPIROU-Projekt (ADEME-kofinanziert).
Collectif CANCAN;La Fab Bordeaux;Collectif CANCAN arbeitete im Auftrag von La Fab Bordeaux.
Ville de Paris;Plateforme de réemploi des matériaux de voirie de la Ville de Paris;Die Quelle belegt, wer die Einrichtung betreibt.
Cycle Up;ORAK;Die Quelle belegt eine formalisierte Zusammenarbeit.
Cycle Up;TEXTIFLOOR;Die Quelle belegt eine formalisierte Zusammenarbeit.
Lascombes Matériaux Anciens;Lascombes Matériaux Anciens Sud-Ouest;Lascombes Sud-Ouest ist ein regionales Nebendepot des Unternehmens.
Réempro;CD2E;Die Quelle belegt die Mitgliedschaft im Netzwerk.
Booster du Réemploi (A4MT);CD2E;Die Quelle belegt eine formalisierte Zusammenarbeit.
Encore Heureux;Circular Pavilion Paris;Der Akteur übernahm den architektonischen Entwurf.
Travail & Vie;Ferme du Rail Paris;Der Akteur führte benannte Bauleistungen aus.
Albert & Co;Ferme du Rail Paris;Der Akteur übernahm eine benannte Fachplanung.
Pouget Consultants;Ferme du Rail Paris;Der Akteur übernahm eine benannte Fachplanung.
Réhabail;Ferme du Rail Paris;Der Akteur verantwortete das Vorhaben als Bauherr.
Le WIP;Grande Halle de Colombelles;Der Akteur betrieb das Vorhaben oder die Einrichtung.
Ville de Paris;Maison des Canaux, Paris;Der Akteur verantwortete das Vorhaben als Bauherr.
Les Canaux;Maison des Canaux, Paris;Der Akteur betrieb das Vorhaben oder die Einrichtung.
Association Réavie;Résilience;Der Akteur lieferte wiederverwendete Bauteile.
Novaedia / Novædia;Résilience;Der Akteur betrieb das Vorhaben oder die Einrichtung.
Archipel zéro;Résilience;Der Akteur übernahm den architektonischen Entwurf.
Depuis 1920;Résilience;Der Akteur führte benannte Bauleistungen aus.
SOCOTEC;Résilience;Der Akteur prüfte oder zertifizierte Bauteile.
CANCAN Architecture;REFAIR Bordeaux;REFAIR Bordeaux begleitete CANCAN beim Wiederverwendungsvorhaben.
Encore Heureux;REMIX / matériaux réemploi;Die Quelle belegt die Gründungsbeziehung.
Mobius Réemploi;CSTB;Mobius Réemploi und CSTB sind Partner im SPIROU-Projekt (ADEME-kofinanziert).
AKT II;Roots in the Sky;Der Akteur übernahm eine benannte Fachplanung.
Opera Property & Asset Management;Timber Square London;Der Akteur übernahm eine benannte Fachplanung.
Cat Fletcher / Freegle;Brighton Waste House;Die Quelle belegt die Beteiligung, aber keine genaue Aufgabe.
Studierende, Schulkinder und Freiwillige;Brighton Waste House;Der Akteur führte benannte Bauleistungen aus.
UCL Circular Economy Lab;CascadeUp;Der Akteur begleitete das Vorhaben wissenschaftlich.
UK CLT;CascadeUp;Der Akteur lieferte wiederverwendete Bauteile.
National Lottery Heritage Fund;Hastings Pier Visitor Centre;Der Akteur finanzierte oder förderte das Vorhaben.
Cleveland Steel & Tubes;Holbein Gardens, London;Cleveland lieferte wiederverwendeten Stahl für Holbein Gardens.
Heyne Tillett Steel / HTS;Holbein Gardens, London;Der Akteur übernahm eine benannte Fachplanung.
TFT Consultants;Holbein Gardens, London;Der Akteur entwickelte das Wiederverwendungskonzept.
Civic Engineers;House of Fraser;Civic Engineers übernahm die Tragwerksplanung für House of Fraser.
FORE Partnership;House of Fraser;Der Akteur verantwortete das Vorhaben als Bauherr.
Four Bay Structures;House of Fraser;Der Akteur übernahm Lagerung oder Transport.
Studio PDP;House of Fraser;Studio PDP übernahm den Entwurf für House of Fraser.
Webb Yates Engineers;House of Fraser;Der Akteur übernahm eine benannte Fachplanung.
Willmott Dixon;House of Fraser;Der Akteur führte benannte Bauleistungen aus.
Grants of Shoreditch;PLP Architecture London Studio Circular Fit-out;Der Akteur lieferte wiederverwendete Bauteile.
Method;PLP Architecture London Studio Circular Fit-out;Der Akteur führte benannte Bauleistungen aus.
AKT II;55 Great Suffolk Street;AKT II prüfte und plante den Stahlreuse für 55 Great Suffolk Street.
Civic Engineers;Studio PDP;Beide arbeiteten nachweislich am selben Bauvorhaben.
Civic Engineers;The Engineers Reuse Collective (TERC);Civic Engineers ist Gründungsmitglied von TERC.
Cleveland Steel & Tubes;55 Great Suffolk Street;Cleveland lieferte Stahl für 55 Great Suffolk Street.
Cleveland Steel & Tubes;Timber Square London;Cleveland lieferte wiederverwendeten Stahl für Timber Square.
Cleveland Steel & Tubes;Elliott Wood;Die Quelle belegt eine konkrete Lieferbeziehung.
