"key","name","official_url","reason"
"FR:S02","Cycle ZÃ©ro","https://cyclezero.fr/","No identity-safe candidate collected."
"FR:U12","RÃ©habail","","organisation domain is not accepted"
"FR:O02","Le WIP","https://www.le-wip.com/","No identity-safe candidate collected."
"FR:O04","Novaedia / NovÃ¦dia","","organisation domain is not accepted"
"FR:U07","Depuis 1920","","organisation domain is not accepted"
"FR:U09","Grand Huit","https://grandhuit.eu/","No identity-safe candidate collected."
"FR:U02","Archipel zÃ©ro","https://archipelzero.wixsite.com/","No identity-safe candidate collected."
"FR:F01","CSTB","https://www.cstb.fr/","No identity-safe candidate collected."
"FR:N02","Bellastock","https://www.bellastock.com/","No identity-safe candidate collected."
"FR:M04","Baignoires Anciennes","","organisation domain is not accepted"
"FR:M05","Bathestia Recup","https://bathestia.fr/","No identity-safe candidate collected."
"FR:M08","Bourgogne MatÃ©riaux Anciens","","organisation domain is not accepted"
"FR:M09","Broc'Antique","","organisation domain is not accepted"
"FR:M17","Enfin!RÃ©emploi","https://enfin-reemploi.fr/","No identity-safe candidate collected."
"FR:M21","GuÃ©rin CheminÃ©es","https://www.guerin-cheminees.com/","No identity-safe candidate collected."
"FR:M25","Labrouche Antiquaire de MatÃ©riaux","https://antiquairedemateriaux.com/","No identity-safe candidate collected."
"FR:M26","Labrouche MatÃ©riaux Anciens","","organisation domain is not accepted"
"FR:M28","Lascombes MatÃ©riaux Anciens Sud-Ouest","https://www.lascombes-sud-ouest.fr/","No identity-safe candidate collected."
"FR:M32","Maison du RÃ©emploi","","organisation domain is not accepted"
"FR:M33","MatÃ©riauthÃ¨que les Chutes de la Dore","https://leschutesdeladore63.wordpress.com/","No identity-safe candidate collected."
"FR:M37","MatÃ©riaux d'Antan","","organisation domain is not accepted"
"FR:M39","MOBIOUS","","organisation domain is not accepted"
"FR:M42","Pierres & Jardins d'Autrefois","","organisation domain is not accepted"
"FR:M45","Provence Vieux MatÃ©riaux Brachet","https://www.brachet-anciensmateriaux.fr/","No identity-safe candidate collected."
"FR:M53","Saint Emilion MatÃ©riaux","","organisation domain is not accepted"
"FR:U16","SynÃ©thic","","organisation domain is not accepted"
"FR:M56","TEXTIFLOOR","https://www.textifloor.com/","No identity-safe candidate collected."
"FR:M58","Tonner MatÃ©riaux Anciens","https://www.tonner-materiaux-anciens.fr/","No identity-safe candidate collected."
"FR:M59","Trost Carrelages Anciens","http://www.materiaux-anciens49.com/","No identity-safe candidate collected."
"FR:M60","Upcylight","","organisation domain is not accepted"
"FR:M61","Vieux Granits","https://www.vieuxgranits.com/","automated domain does not identify enough of the organisation name"
"FR:O01","Booster du RÃ©emploi (A4MT)","https://www.looping.immo/","No identity-safe candidate collected."
"FR:M19","Gauthey CheminÃ©es","https://cheminees-gauthey.fr/","No identity-safe candidate collected."
"FR:M36","MatÃ©riaux Anciens du Sud","https://www.materiauxanciensdusud.com/","No identity-safe candidate collected."
"FR:M49","Reemployez.fr","https://reemployez.fr/","ambiguous one-word organisation from automated domain research"
"GB:M04","Building Spares Market","https://buildingsparesmarket.co.uk/","No identity-safe candidate collected."
"GB:X03","Warp It","https://www.warp-it.co.uk/","No identity-safe candidate collected."
"GB:X02","Studierende, Schulkinder und Freiwillige","","organisation domain is not accepted"
"GB:U27","Four Bay Structures","","organisation domain is not accepted"
"GB:U30","Grants of Shoreditch","https://www.grantsint.com/","No identity-safe candidate collected."
"GB:U44","Opera","https://www.opera.com/","opera.com identifies the Opera browser, not this construction actor"
"GB:U04","BakerBrown","https://bakerbrown.studio/","No identity-safe candidate collected."
"GB:M01","Antique Wooden Floors","https://www.antiquewoodenfloors.co.uk/","No identity-safe candidate collected."
"GB:U06","BDP","https://www.bdp.com/","No identity-safe candidate collected."
"GB:M12","London Reclamation and Salvage Ltd","https://www.londonreclamation.net/","No identity-safe candidate collected."
"GB:M14","Milton Keynes Antiques & Architectural Salvage","https://www.mkantiquesandsalvage.co.uk/","No identity-safe candidate collected."
"GB:M17","Romsey Reclamation","https://www.romseyreclamation.com/","No identity-safe candidate collected."
"GB:M24","The Old Slate Yard","https://theoldslateyard.co.uk/","No identity-safe candidate collected."
"GB:F04","University of East Anglia","https://www.uea.ac.uk/","No identity-safe candidate collected."
"GB:M07","E&A Reclamation","https://www.eandareclamation.com/","No identity-safe candidate collected."
"NL:S02","ReSource Marktplaats","https://play.google.com/store/apps/details?id=com.pss.resource","No identity-safe candidate collected."
"NL:U33","Lagemaat Heerde","https://lagemaat-heerde.nl/","No identity-safe candidate collected."
"NL:U44","Rothuizen Architecten / Taco Tuinhof","https://rothuizen-architecten.nl/","No identity-safe candidate collected."
"NL:S03","Ter Velde & Den Besten","https://terveldedenbesten.nl/","No identity-safe candidate collected."
"NL:M15","Snellen (Rijsbergen)","","organisation domain is not accepted"
"BE:F07","University of Twente","https://research.utwente.nl/","No identity-safe candidate collected."
"NL:M09","Handelsonderneming Klepper","","organisation domain is not accepted"
"NL:M13","Regts - Antieke Tegels","https://www.antieketegel.nl/","No identity-safe candidate collected."
"CH:M06","Bauteilvermittlung ZÃ¼richsee-Oberland","","organisation domain is not accepted"
"CH:S04","REUZI","https://reuzi.ch/","No identity-safe candidate collected."
"CH:U24","Syphon AG BauteilbÃ¶rse Biel-BrÃ¼gg","https://stiftung-suedkurve.ch/","No identity-safe candidate collected."
"CH:M13","ReUse Recycling Center Riedtwil / wiederverwendung.ch","","organisation domain is not accepted"
"CH:M07","Bauteilverwertung KÃ¶ppel & Klein","https://www.bauteilverwertung.ch/","No identity-safe candidate collected."
"CH:M15","useagain / Bauteilclick","","organisation domain is not accepted"
"CH:U04","baubÃ¼ro in situ","https://www.insitu.ch/","No identity-safe candidate collected."
"CH:U15","Modissa Immobilien AG","","organisation domain is not accepted"
"CH:U25","Tschudin RÃ¼ckbau und Demontagen GmbH","https://www.tschudin-rueckbau.ch/","No identity-safe candidate collected."
"CH:U18","Oberli Ingenieurbau AG","","organisation domain is not accepted"
"CH:U11","Josef Kolb AG","","organisation domain is not accepted"
"CH:U22","Schmidiger + Rosasco AG","https://srzh.ch/","No identity-safe candidate collected."
"CH:U01","aik Architektur + Ingenieur Kollektiv","","organisation domain is not accepted"
"CH:F02","Empa","https://www.empa.ch/","No identity-safe candidate collected."
"BE:M24","La Ressourcerie Fribourg","","organisation domain is not accepted"
"CH:U05","Bischof FÃ¶hn Architektur","https://www.bf-architekten.ch/","No identity-safe candidate collected."
"BE:U24","Loeliger Strub","","organisation domain is not accepted"
"CH:U23","Studio Trachsler Hoffmann","https://trachslerhoffmann.ch/","No identity-safe candidate collected."
"CH:U19","PARABASE","","organisation domain is not accepted"
"CH:U20","Pascal Flammer Architekten","https://www.pascalflammer.com/","No identity-safe candidate collected."
"CH:U16","Monotti Ingegneri","","organisation domain is not accepted"
"CH:S01","Digvis GmbH","","organisation domain is not accepted"
"CH:M04","Bauteilkatalog Immobilien Basel-Stadt","https://www.bs.ch/","No identity-safe candidate collected."
"DE:M06","Materialrest24","","organisation domain is not accepted"
"DE:F03","Claus Asam","","organisation domain is not accepted"
"DE:U41","Wiewiorra Hopp Architekten","","organisation domain is not accepted"
"DE:U14","Die Zusammenarbeiter","https://zusammenarbeiter.de/","No identity-safe candidate collected."
"DE:F01","BTU Cottbus","https://www.b-tu.de/","No identity-safe candidate collected."
"DE:U32","Petra JablonickÃ¡","","organisation domain is not accepted"
"DE:U38","TOMAS","","organisation domain is not accepted"
"DE:N02","bauteilnetz Deutschland","http://www.bauteilnetz.de/","No identity-safe candidate collected."
"DE:U13","DARE GmbH","","organisation domain is not accepted"
"DE:U27","IngenieurbÃ¼ro Fechner","","organisation domain is not accepted"
"DE:U30","Max Holzbau","","organisation domain is not accepted"
"BE:S01","Madaster / EPEA","https://madaster.de/","No identity-safe candidate collected."
"BE:N06","Rotor","https://rotordb.org/","No identity-safe candidate collected."
"BE:N05","Opalis","https://opalis.eu/","No identity-safe candidate collected."
"BE:F02","Buildwise","https://www.buildwise.be/","No identity-safe candidate collected."
"BE:M02","Antique Fireplaces First","https://antiquefireplacesfirst.com/","No identity-safe candidate collected."
"BE:M12","Eeuwenhout Antoine Verhofstede","https://www.verhofstede.be/","No identity-safe candidate collected."
"BE:M16","Het arduinen hoekje","https://arduinen-hoekje.be/","No identity-safe candidate collected."
"BE:M17","Heyns Recycling","","organisation domain is not accepted"
"BE:M18","Hofman NV - SA","https://www.hofman.be/","No identity-safe candidate collected."
"BE:M27","MVV Afbraakwerken Martin","https://www.mvvafbraak.be/","automated domain does not identify enough of the organisation name"
"BE:I04","OVAM (Openbare Vlaamse Afvalstoffenmaatschappij)","https://ovam.vlaanderen.be/","No identity-safe candidate collected."
"BE:M32","Van Huele","https://www.vanhuele.be/","No identity-safe candidate collected."
"BE:M01","Antiek Anresto","https://anresto.com/","No identity-safe candidate collected."
"BE:M13","Fryns-Boret","","organisation domain is not accepted"
"BE:M28","Recupan bvba","http://www.recupan.be/","No identity-safe candidate collected."
"DK:F01","DTU","https://www.dtu.dk/","No identity-safe candidate collected."
"DK:M02","Byggeboersen","","organisation domain is not accepted"
"DE:U20","Greater Copenhagen Area (CirCoFin pilot)","","organisation domain is not accepted"
"DK:M12","OKpriser.dk A/S","https://okpriser.dk/","No identity-safe candidate collected."
"DK:U28","Realdania","https://realdania.dk/","No identity-safe candidate collected."
"DE:U33","Region Hovedstaden","https://www.regionh.dk/","No identity-safe candidate collected."
"DK:M01","Bango A/S","https://www.bango.dk/","No identity-safe candidate collected."
"DK:M07","Den GrÃ¸nne Genbrugshal","","organisation domain is not accepted"
"DK:U16","Klassiske Vinduer","https://klassiske-vinduer.dk/","No identity-safe candidate collected."
"SE:U08","Codesign Sweden AB","","organisation domain is not accepted"
"SE:U20","Teknikbyggarna","https://teknikbyggarna.se/","No identity-safe candidate collected."
"SE:F02","RISE (Research Institutes of Sweden)","https://www.ri.se/","No identity-safe candidate collected."
"NO:N03","FutureBuilt","https://www.futurebuilt.com/","No identity-safe candidate collected."
"NO:N06","Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim)","","organisation domain is not accepted"
"NO:M01","FornyBygg","","organisation domain is not accepted"
"NO:N05","Ombruks-HUB SÃ¸rlandet AS","https://www.ombrukshubsor.no/","No identity-safe candidate collected."
"NO:M04","OMBYGG","https://www.ombygg.no/","No identity-safe candidate collected."
"FI:I02","City of Helsinki","https://www.hel.fi/","No identity-safe candidate collected."
"FI:U04","Durat","https://durat.fi/","No identity-safe candidate collected."
"FI:U05","Havu JÃ¤rvelÃ¤","","organisation domain is not accepted"
"FI:U06","Joensuun Rakennuspurku ja Timanttiurakointi Oy","https://www.joensuunrakennuspurku.fi/","No identity-safe candidate collected."
"FI:U10","Markus Saarela","","organisation domain is not accepted"
"FI:U14","Purkukolmio Oy","https://www.purkukolmio.fi/","No identity-safe candidate collected."
"AT:I02","VIE.CYCLE / DoTank Circular City Wien 2020â€“2030 (Stadt Wien, Stabsstelle SRN)","https://viecycle.wien.gv.at/","No identity-safe candidate collected."
