[2026-05-22T08:05:49.009951+00:00] Q-EXT.A scanning 3353 research markdown files
[2026-05-22T08:05:51.289483+00:00]   aufbereitungsverfahren_reused_building_elements.md: 8 URLs
[2026-05-22T08:05:52.227616+00:00]   bauteilreuse_legal_regime_matrix.md: 95 URLs
[2026-05-22T08:05:52.598396+00:00]   circular_construction_economics_kg.md: 18 URLs
[2026-05-22T08:05:52.843508+00:00]   circular_construction_leistungsanforderungen.md: 30 URLs
[2026-05-22T08:05:52.985494+00:00]   circular_construction_reuse_graph_gaps.md: 18 URLs
[2026-05-22T08:05:52.992491+00:00]   connection_techniques_bauteilreuse.md: 0 URLs
[2026-05-22T08:05:53.208135+00:00]   energy_climate_reuse_research.md: 31 URLs
[2026-05-22T08:05:53.215136+00:00]   graph_patch_validation.md: 0 URLs
[2026-05-22T08:05:53.391906+00:00]   missing_underused_norm_nodes_reuse_kg.md: 26 URLs
[2026-05-22T08:05:53.432421+00:00]   prompts.md: 0 URLs
[2026-05-22T08:05:53.854650+00:00]   reuse_knowledge_graph_coverage_audit.md: 68 URLs
[2026-05-22T08:05:53.870162+00:00]   schadstoff_reuse_knowledge_graph_research.md: 0 URLs
[2026-05-22T08:05:54.012682+00:00]   testing_verification_bauteilreuse_kg.md: 23 URLs
[2026-05-22T08:05:54.019681+00:00]   README.md: 0 URLs
[2026-05-22T08:05:54.050688+00:00]   articonnex.md: 3 URLs
[2026-05-22T08:05:54.073800+00:00]   backacia.md: 3 URLs
[2026-05-22T08:05:54.093881+00:00]   baticycle.md: 3 URLs
[2026-05-22T08:05:54.123884+00:00]   batiterre.md: 4 URLs
[2026-05-22T08:05:54.148889+00:00]   batrecup.md: 3 URLs
[2026-05-22T08:05:54.174404+00:00]   baukarussell.md: 3 URLs
[2026-05-22T08:05:54.211405+00:00]   bauteilboerse-bremen.md: 5 URLs
[2026-05-22T08:05:54.242410+00:00]   bauteilladen-winterthur.md: 4 URLs
[2026-05-22T08:05:54.265923+00:00]   bauteilnetz-deutschland.md: 3 URLs
[2026-05-22T08:05:54.296925+00:00]   building-spares-market.md: 4 URLs
[2026-05-22T08:05:54.323926+00:00]   cornermat-retrival.md: 3 URLs
[2026-05-22T08:05:54.353933+00:00]   cycle-up.md: 4 URLs
[2026-05-22T08:05:54.375151+00:00]   cycle-zero.md: 3 URLs
[2026-05-22T08:05:54.396149+00:00]   enviromate.md: 3 URLs
[2026-05-22T08:05:54.423148+00:00]   gebruiktebouwmaterialen-gbm.md: 4 URLs
[2026-05-22T08:05:54.457155+00:00]   genbyg.md: 3 URLs
[2026-05-22T08:05:54.484309+00:00]   globechain.md: 4 URLs
[2026-05-22T08:05:54.501311+00:00]   insert-marketplace.md: 2 URLs
[2026-05-22T08:05:54.535311+00:00]   loopfront.md: 5 URLs
[2026-05-22T08:05:54.568522+00:00]   material-index.md: 5 URLs
[2026-05-22T08:05:54.594524+00:00]   material-reuse-portal.md: 4 URLs
[2026-05-22T08:05:54.628524+00:00]   materialenbank-leuven-atelier-circuler.md: 5 URLs
[2026-05-22T08:05:54.650531+00:00]   materialrest24.md: 3 URLs
[2026-05-22T08:05:54.671620+00:00]   oogstkaart-new-horizon.md: 3 URLs
[2026-05-22T08:05:54.696620+00:00]   r-place.md: 3 URLs
[2026-05-22T08:05:54.730621+00:00]   raedificare.md: 3 URLs
[2026-05-22T08:05:54.751627+00:00]   re-store-harvestmap-vienna.md: 3 URLs
[2026-05-22T08:05:54.773785+00:00]   reempro.md: 3 URLs
[2026-05-22T08:05:54.789783+00:00]   resource-marktplaats.md: 2 URLs
[2026-05-22T08:05:54.820787+00:00]   restado.md: 5 URLs
[2026-05-22T08:05:54.842785+00:00]   reuse-and-trade.md: 3 URLs
[2026-05-22T08:05:54.869891+00:00]   rotordc.md: 4 URLs
[2026-05-22T08:05:54.891892+00:00]   salvoweb.md: 3 URLs
[2026-05-22T08:05:54.912890+00:00]   salza.md: 3 URLs
[2026-05-22T08:05:54.933891+00:00]   skop-marketplace.md: 3 URLs
[2026-05-22T08:05:54.955899+00:00]   surplus-building-and-plumbing-materials.md: 3 URLs
[2026-05-22T08:05:54.982967+00:00]   sustainability-yard.md: 4 URLs
[2026-05-22T08:05:55.011970+00:00]   useagain-bauteilclick.md: 4 URLs
[2026-05-22T08:05:55.044975+00:00]   warp-it.md: 4 URLs
[2026-05-22T08:05:55.096010+00:00]   55_Great_Suffolk_Street_London.md: 8 URLs
[2026-05-22T08:05:55.139011+00:00]   Association_house_Groeditz.md: 7 URLs
[2026-05-22T08:05:55.182068+00:00]   Association_house_Plauen.md: 6 URLs
[2026-05-22T08:05:55.227069+00:00]   AWM_Muenster_Circular_Office.md: 6 URLs
