eid,kind,type,subject,object,old_status,old_url,result,new_url,new_quote,mode,match,score,candidates_tried,agent_id
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257197116,rel,HAT_BAUTEILTYP,La Ressourcerie Fribourg,Boden,QUOTE_MISMATCH,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443511868,rel,HAT_BAUTEILTYP,La Ressourcerie Fribourg,Daemmung,QUOTE_MISMATCH,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826620,rel,HAT_BAUTEILTYP,La Ressourcerie Fribourg,Technik,QUOTE_MISMATCH,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955674684,rel,NUTZT_MATERIAL,La Ressourcerie Fribourg,Holz,QUOTE_MISMATCH,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157505368583045180,rel,NUTZT_MATERIAL,La Ressourcerie Fribourg,Keramik,QUOTE_MISMATCH,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141476,rel,HAT_BAUTEILTYP,Geländer aus Charleroi,Gelaender,LINK_DEAD,https://opalis.eu/fr/projets/verbiest-karreveld,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141524,rel,HAT_BAUTEILTYP,Fixed wall cladding…,Wand,HOMEPAGE_ONLY,https://awm.stadt-muenster.de/,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141527,rel,HAT_BAUTEILTYP,Softwood wall studs,Wand,LINK_DEAD,https://www.bioregional.com/projects-and-services/case-studies/bedzed,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141549,rel,HAT_BAUTEILTYP,Façade support members,Fassade,LINK_DEAD,https://www.arup.com/projects/brent-cross-town,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141672,rel,HAT_BAUTEILTYP,"Türen, Fenster und…",Fenster,QUOTE_MISMATCH,https://www.buildingsocialecology.org/projects/crclr-house-berlin/,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675056,rel,NUTZT_MATERIAL,Pretty Plastic Schindeln…,Kunststoff,LINK_DEAD,https://overtredersw.nl/projects/peoples-pavilion,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826999,rel,HAT_BAUTEILTYP,Wand- und Fassadenelemen…,Wand,QUOTE_MISMATCH,https://www.plattenvereinigung.de/project/orte/,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675081,rel,NUTZT_MATERIAL,Drei Beton-Wohnungsteile,Beton,QUOTE_MISMATCH,https://www.kerkrade.nl/superlocal-bleijerheide,RECOVERED,https://adokin.eu/fr/tag/briques,"fuelle roga, 2017, asuncion (paraguay) – private owner – omcm escritorio de arquitectura y urbanismo, matias ortiz & maria paz chamorro (conception) – photo courtesy of omcm une troisieme facon de reemployer des briques est d’en integrer de facon aleatoire les debris, plus ou moins gros, aux murs et",QUOTE_REPAIR,VERBATIM,1.00,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675092,rel,NUTZT_MATERIAL,Repurposed Cleveland…,Stahl,LINK_DEAD,https://www.stiffandtrevillion.com/projects/tower-bridge-road,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141795,rel,HAT_BAUTEILTYP,Upcycled window elements,Fenster,LIKELY_REVIEW,https://www.lendager.com/projects/trae,RECOVERED,https://eumiesawards.com/heritageobject/tr,Upcycled window elements,STRICT,STRONG,0.60,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141797,rel,HAT_BAUTEILTYP,Dinesen-Offcuts als…,Boden,QUOTE_MISMATCH,https://www.lendager.com/projects/upcycle-studios,RECOVERED,https://www.again.dk/project-references/upcycle-studios,"floors, walls and facades are made of upcycled discarded wood and offcuts from dinesen's floor production.",QUOTE_REPAIR,VERBATIM,1.00,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141798,rel,HAT_BAUTEILTYP,Doppelverglaste Fenster,Fenster,QUOTE_MISMATCH,https://www.lendager.com/projects/upcycle-studios,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360359,rel,NUTZT_MATERIAL,Recyclingbeton aus…,Recyclingbeton,QUOTE_MISMATCH,https://www.lendager.com/projects/upcycle-studios,RECOVERED,https://www.again.dk/project-references/upcycle-studios,"in upcycle studios, 75% of the windows came from public housing in north jutland, 1000 tonnes of the concrete used is cast with aggregate, from the copenhagen metro's concrete waste.",QUOTE_REPAIR,VERBATIM,1.00,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629827050,rel,HAT_BAUTEILTYP,Verbiest Dach- und…,Dach,LINK_DEAD,https://opalis.eu/fr/projets/verbiest-karreveld,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675120,rel,NUTZT_MATERIAL,Wetternde Stahl-Offcut-T…,Stahl,HOMEPAGE_ONLY,https://www.saxumvineyards.com/,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675123,rel,NUTZT_MATERIAL,HSB-Holz Balken und…,Holz,HOMEPAGE_ONLY,https://www.boschgaard.nl/,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955679689,rel,NUTZT_MATERIAL,Bauteilladen Winterthur,Holz,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325628361,rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,Ausbau,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,RECOVERED,https://opalis.eu/en/dealers/rotor-deconstruction,"in the showroom one finds a nice overview of the materials on stock, as well as a wide range of lighting fixtures and hardware for a 100% reused interior.",QUOTE_REPAIR,VERBATIM,1.00,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629831625,rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,Boden,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511943113,rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,Dach,LIKELY_REVIEW,https://bauteilladen.ch/shop/,RECOVERED,https://bauteilladen.ch/,Shop/category archive includes roof elements.,STRICT,STRONG,0.67,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698257865,rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,Decke,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257202121,rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,Technik,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,,,,12,CEG-R1
5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070887369,rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,Treppe,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,,,,12,CEG-R1
