"review_reason","target","relation","count","sample_raw_label","sample_legacy_path"
"target_manual_review","material/Metall","uses_material","46","Metall","Gebäude\AWM_Muenster_Circular_Office.md"
"target_manual_review","huerde/Performance_Nachweis","has_huerde","33","Leistungsnachweis","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"target_manual_review","bauteiltyp/Tragstruktur","has_bauteiltyp","28","Dachgarten-Tragunterbau","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"target_manual_review","bauteiltyp/Bauwerksteil","has_bauteiltyp","27","Bestandslagerhaus","Gebäude\55_Great_Suffolk_Street_London.md"
"target_manual_review","huerde/Logistikproblem","has_huerde","20","Passung, Transport, Glaszustand","Gebäude\AWM_Muenster_Circular_Office.md"
"target_manual_review","bauteiltyp/Fliese","has_bauteiltyp","16","Teppichfliesen","Gebäude\Brighton_Waste_House_Brighton.md"
"target_manual_review","bauteiltyp/Kueche","has_bauteiltyp","8","Feste Einbauten/Küchenteile","Gebäude\BedZED_London_Hackbridge.md"
"target_manual_review","bauteiltyp/Landschaftselement","has_bauteiltyp","8","Landscape / elevated landscape elements","Gebäude\Big_Dig_Building_Boston.md"
"target_manual_review","bauteiltyp/Bruestung","has_bauteiltyp","7","Gerüstrohre als Rampen/Geländer/Balustraden","Gebäude\BedZED_London_Hackbridge.md"
"target_manual_review","bauteiltyp/Kern","has_bauteiltyp","5","Stahlprofile für neuen externen Kern","Gebäude\55_Great_Suffolk_Street_London.md"
"target_manual_review","material/Guss","uses_material","4","Mauerwerk, Gusseisen, Holz, Stahlfenster u. a.","Gebäude\55_Great_Suffolk_Street_London.md"
"source_not_imported; target_not_imported","fallstudie/index","belongs_to_fallstudie","3","fallstudie/index",""
"target_manual_review","material/Erde","uses_material","3","gepresste Erde","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"target_ambiguous_split","bauteiltyp/Dachziegel","has_bauteiltyp","3","Dachziegel","Gebäude\Chiro_d_Itterbeek_Dilbeek.md"
"target_ambiguous_split","bauteiltyp/Feuerschutztuer","has_bauteiltyp","3","Türen massiv / Brandschutztüren","Gebäude\Grande_Halle_de_Colombelles.md"
"target_manual_review","bauteiltyp/Auflager_Widerlager","has_bauteiltyp","2","Plattenauflager","Gebäude\Plattenpalast_Berlin.md"
"source_not_imported; target_not_imported","reuse_kette/index","part_of_reuse_kette","2","reuse_kette/index",""
"target_manual_review","material/Recyclingbeton","uses_material","1","Recyclingbeton","Gebäude\Recyclinghaus_Hannover.md"
"source_manual_review","fallstudie/Timber_Square_London","belongs_to_fallstudie","1","fallstudie/Timber_Square_London","Gebäude\Timber_Square_London.md"
"source_manual_review","kennwertdefinition/Bauteilanzahl","measures_kennwertdefinition","1","Fenster","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"source_manual_review","bauobjekt/Timber_Square_London","measured_on_bauobjekt","1","Timber_Square_London","Gebäude\Timber_Square_London.md"
"source_manual_review","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","belongs_to_fallstudie","1","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"source_manual_review","kennwertdefinition/Materialmenge","measures_kennwertdefinition","1","Wiederverwendete Stahlträger","Gebäude\Timber_Square_London.md"
"source_manual_review","projekt/Timber_Square_London","belongs_to_projekt","1","Timber_Square_London","Gebäude\Timber_Square_London.md"
"source_manual_review","bauobjekt/ELYS_Kultur_Gewerbehaus_Basel","measured_on_bauobjekt","1","ELYS_Kultur_Gewerbehaus_Basel","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"source_manual_review","kennwertdefinition/Wiederverwendungsquote","measures_kennwertdefinition","1","Wiederverwendete Stahlträger","Gebäude\Timber_Square_London.md"
"source_manual_review","projekt/ELYS_Kultur_Gewerbehaus_Basel","belongs_to_projekt","1","ELYS_Kultur_Gewerbehaus_Basel","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
