"folder","files","urls","tables","high_flagged","empty_files"
"_extract","1","0","1833","0","0"
"abbruchmethode","6","31","0","2","0"
"abbruchmethode.md","1","0","0","0","0"
"AGENTS.md","1","0","0","0","0"
"akteur","52","401","0","2","0"
"aufbereitungsmethode","8","32","0","0","0"
"aufbereitungsmethode.md","1","0","0","0","0"
"bauteil","19","69","0","3","0"
"bauteil.md","1","0","0","0","0"
"bauteilboerse","39","136","0","2","0"
"bauteilbörse.md","1","0","0","0","0"
"beispiel.md","1","0","0","0","0"
"bericht","15","131","0","2","0"
"bericht.md","1","0","0","0","0"
"datenmodell","7","65","46","0","0"
"datenmodell.md","1","0","0","0","0"
"dirk-hebel.md","1","0","0","0","0"
"dokument","18","147","18","0","0"
"dokument.md","1","0","0","0","0"
"fallstudie","12","49","0","0","0"
"fallstudie.md","1","0","0","0","0"
"foerderprogramm","6","24","0","0","0"
"förderprogramm.md","1","0","0","0","0"
"gastprofessur.md","1","0","0","0","0"
"gebaeude","19","338","532","9","0"
"Gebäude","76","534","6781","76","0"
"gebäude.md","1","0","0","0","0"
"huerde","14","120","56","3","0"
"hürde.md","1","0","0","0","0"
"interview.md","1","0","0","0","0"
"kennwert","6","39","16","0","0"
"kennwert.md","1","0","0","0","0"
"kerstin-müller.md","1","0","0","0","0"
"leistungsanforderung","9","46","0","0","0"
"leistungsanforderung.md","1","0","0","0","0"
"logistik","8","62","0","0","0"
"logistik.md","1","0","0","0","0"
"material","17","91","55","0","0"
"material.md","1","0","0","0","0"
"meta","5","10","54","0","0"
"methode","12","94","37","2","0"
"methode.md","1","0","0","0","0"
"nachhaltiges-bauen.md","1","0","0","0","0"
"norm","15","84","154","0","0"
"norm.md","1","0","0","0","0"
"ort","13","81","0","3","0"
"ort.md","1","0","0","0","0"
"person","24","3085","949","0","0"
"person.md","1","0","0","0","0"
"professur.md","1","0","0","0","0"
"projekt","6","64","0","0","0"
"projekt.md","1","0","0","0","0"
"prompts.md","1","0","0","0","0"
"prozessphase","10","99","0","0","0"
"prozessphase.md","1","0","0","0","0"
"pruefung","12","52","0","0","0"
"prüfung.md","1","0","0","0","0"
"recht","6","48","0","0","0"
"recht.md","1","0","0","0","0"
"reuse_strategie","7","56","0","0","0"
"reuse-strategie.md","1","0","0","0","0"
"schadstoff","6","44","0","0","0"
"schadstoff.md","1","0","0","0","0"
"software","4","44","0","0","0"
"software.md","1","0","0","0","0"
"tool.md","1","0","0","0","0"
"tools","2","6","0","0","0"
"tragwerkssystem","17","53","62","4","0"
"tragwerkssystem.md","1","0","0","0","0"
"verbindung","8","27","42","0","0"
"verbindung.md","1","0","0","0","0"
"werkzeug","41","274","0","2","0"
"werkzeug.md","1","0","0","0","0"
"wirtschaft","7","55","54","0","0"
"wirtschaft.md","1","0","0","0","0"
