"entity","id","target","status"
"bewertungslogik_abgrenzung","Kein_Direct_Reuse_Nachweis","bewertungslogik_abgrenzung/Kein_Direct_Reuse_Nachweis","created"
"bewertungslogik_abgrenzung","Bestandserhalt_Nicht_Direct_Reuse","bewertungslogik_abgrenzung/Bestandserhalt_Nicht_Direct_Reuse","created"
"bewertungslogik_abgrenzung","Recycling_Nicht_Direct_Reuse","bewertungslogik_abgrenzung/Recycling_Nicht_Direct_Reuse","created"
"bewertungslogik_abgrenzung","Moebel_Dekoration_Nicht_Direct_Reuse","bewertungslogik_abgrenzung/Moebel_Dekoration_Nicht_Direct_Reuse","created"
"bewertungslogik_abgrenzung","Ungebaut_Nicht_Realisierte_Wiederverwendung","bewertungslogik_abgrenzung/Ungebaut_Nicht_Realisierte_Wiederverwendung","created"
"bewertungslogik_abgrenzung","Zukunftsfaehigkeit_Nicht_Aktuelle_Wiederverwendung","bewertungslogik_abgrenzung/Zukunftsfaehigkeit_Nicht_Aktuelle_Wiederverwendung","created"
"bewertungslogik_abgrenzung","Reuse_Anteil_Unklar","bewertungslogik_abgrenzung/Reuse_Anteil_Unklar","created"
"huerde","Anschlussproblem","huerde/Anschlussproblem","created"
"huerde","Kompatibilitaetsproblem","huerde/Kompatibilitaetsproblem","created"
"huerde","Technische_Freigabe","huerde/Technische_Freigabe","created"
"huerde","Materialqualitaet_Unklar","huerde/Materialqualitaet_Unklar","created"
"huerde","Zustand_Unklar","huerde/Zustand_Unklar","created"
"huerde","Heterogenitaet_Chargen","huerde/Heterogenitaet_Chargen","created"
"huerde","Aufbereitungsaufwand","huerde/Aufbereitungsaufwand","created"
"huerde","Witterung_Feuchte","huerde/Witterung_Feuchte","created"
"huerde","Dauerhaftigkeit_Restlebensdauer","huerde/Dauerhaftigkeit_Restlebensdauer","created"
"huerde","Hygieneanforderung","huerde/Hygieneanforderung","created"
"huerde","Bauproduktstatus","huerde/Bauproduktstatus","created"
"huerde","Mengenunsicherheit","huerde/Mengenunsicherheit","created"
"huerde","Entwurfsbindung","huerde/Entwurfsbindung","created"
"huerde","Akzeptanzproblem","huerde/Akzeptanzproblem","created"
"huerde","Bruch_Beschaedigungsrisiko","huerde/Bruch_Beschaedigungsrisiko","created"
"huerde","Unkonventionelles_Material","huerde/Unkonventionelles_Material","created"
"huerde","Performance_Nachweis","huerde/Performance_Nachweis","created"
