"legacy_path","entity","id","target","target_index","action"
"_extract\Gebaeude_Entity_Extraction.md","quelle","Legacy_extract_Gebaeude_Entity_Extraction.","quelle/Legacy_extract_Gebaeude_Entity_Extraction.","_graph\quelle\Legacy_extract_Gebaeude_Entity_Extraction.\index.md","archive_as_source"
"abbruchmethode.md","quelle","Legacy_abbruchmethode.","quelle/Legacy_abbruchmethode.","_graph\quelle\Legacy_abbruchmethode.\index.md","merge_into_index"
"abbruchmethode\index.md","quelle","Legacy_abbruchmethode_index.","quelle/Legacy_abbruchmethode_index.","_graph\quelle\Legacy_abbruchmethode_index.\index.md","merge_into_index"
"AGENTS.md","meta","Legacy_AGENTS.","meta/Legacy_AGENTS.","_graph\meta\Legacy_AGENTS.\index.md","keep_meta"
"akteur\Research\00_INDEX.md","quelle","Legacy_akteur_Research_00_INDEX.","quelle/Legacy_akteur_Research_00_INDEX.","_graph\quelle\Legacy_akteur_Research_00_INDEX.\index.md","archive_as_source"
"akteur\Research\Interviewleitfaden.md","quelle","Legacy_akteur_Research_Interviewleitfaden.","quelle/Legacy_akteur_Research_Interviewleitfaden.","_graph\quelle\Legacy_akteur_Research_Interviewleitfaden.\index.md","archive_as_source"
"aufbereitungsmethode.md","quelle","Legacy_aufbereitungsmethode.","quelle/Legacy_aufbereitungsmethode.","_graph\quelle\Legacy_aufbereitungsmethode.\index.md","merge_into_index"
"aufbereitungsmethode\index.md","quelle","Legacy_aufbereitungsmethode_index.","quelle/Legacy_aufbereitungsmethode_index.","_graph\quelle\Legacy_aufbereitungsmethode_index.\index.md","merge_into_index"
"bauteil.md","quelle","Legacy_bauteil.","quelle/Legacy_bauteil.","_graph\quelle\Legacy_bauteil.\index.md","merge_into_index"
"bauteil\index.md","quelle","Legacy_bauteil_index.","quelle/Legacy_bauteil_index.","_graph\quelle\Legacy_bauteil_index.\index.md","merge_into_index"
"beispiel.md","quelle","Legacy_beispiel.","quelle/Legacy_beispiel.","_graph\quelle\Legacy_beispiel.\index.md","archive_as_source"
"bericht.md","quelle","Legacy_bericht.","quelle/Legacy_bericht.","_graph\quelle\Legacy_bericht.\index.md","merge_into_index"
"bericht\01_BIM_Berlin_detailed.md","quelle","Legacy_bericht_01_BIM_Berlin_detailed.","quelle/Legacy_bericht_01_BIM_Berlin_detailed.","_graph\quelle\Legacy_bericht_01_BIM_Berlin_detailed.\index.md","archive_or_source"
"bericht\02_Concular_detailed.md","quelle","Legacy_bericht_02_Concular_detailed.","quelle/Legacy_bericht_02_Concular_detailed.","_graph\quelle\Legacy_bericht_02_Concular_detailed.\index.md","archive_or_source"
"bericht\03_Madaster_detailed.md","quelle","Legacy_bericht_03_Madaster_detailed.","quelle/Legacy_bericht_03_Madaster_detailed.","_graph\quelle\Legacy_bericht_03_Madaster_detailed.\index.md","archive_or_source"
"bericht\04_Be_Ware_NBL_detailed.md","quelle","Legacy_bericht_04_Be_Ware_NBL_detailed.","quelle/Legacy_bericht_04_Be_Ware_NBL_detailed.","_graph\quelle\Legacy_bericht_04_Be_Ware_NBL_detailed.\index.md","archive_or_source"
"bericht\05_BIZH_Reallabor_detailed.md","quelle","Legacy_bericht_05_BIZH_Reallabor_detailed.","quelle/Legacy_bericht_05_BIZH_Reallabor_detailed.","_graph\quelle\Legacy_bericht_05_BIZH_Reallabor_detailed.\index.md","archive_or_source"
"bericht\06_Haus_der_Materialisierung_detailed.md","quelle","Legacy_bericht_06_Haus_der_Materialisierung_detailed.","quelle/Legacy_bericht_06_Haus_der_Materialisierung_detailed.","_graph\quelle\Legacy_bericht_06_Haus_der_Materialisierung_detailed.\index.md","archive_or_source"
"bericht\07_Kunst_Stoffe_Berlin_detailed.md","quelle","Legacy_bericht_07_Kunst_Stoffe_Berlin_detailed.","quelle/Legacy_bericht_07_Kunst_Stoffe_Berlin_detailed.","_graph\quelle\Legacy_bericht_07_Kunst_Stoffe_Berlin_detailed.\index.md","archive_or_source"
"bericht\08_ZRS_Engineering_detailed.md","quelle","Legacy_bericht_08_ZRS_Engineering_detailed.","quelle/Legacy_bericht_08_ZRS_Engineering_detailed.","_graph\quelle\Legacy_bericht_08_ZRS_Engineering_detailed.\index.md","archive_or_source"
"bericht\09_CRCLR_House_detailed.md","quelle","Legacy_bericht_09_CRCLR_House_detailed.","quelle/Legacy_bericht_09_CRCLR_House_detailed.","_graph\quelle\Legacy_bericht_09_CRCLR_House_detailed.\index.md","archive_or_source"
"bericht\10_PARABASE_detailed.md","quelle","Legacy_bericht_10_PARABASE_detailed.","quelle/Legacy_bericht_10_PARABASE_detailed.","_graph\quelle\Legacy_bericht_10_PARABASE_detailed.\index.md","archive_or_source"
"bericht\11_Rotor_Rotor_DC_detailed.md","quelle","Legacy_bericht_11_Rotor_Rotor_DC_detailed.","quelle/Legacy_bericht_11_Rotor_Rotor_DC_detailed.","_graph\quelle\Legacy_bericht_11_Rotor_Rotor_DC_detailed.\index.md","archive_or_source"
"bericht\2021-Schweiz.md","quelle","Legacy_bericht_2021-Schweiz.","quelle/Legacy_bericht_2021-Schweiz.","_graph\quelle\Legacy_bericht_2021-Schweiz.\index.md","archive_or_source"
"bericht\index.md","quelle","Legacy_bericht_index.","quelle/Legacy_bericht_index.","_graph\quelle\Legacy_bericht_index.\index.md","merge_into_index"
"bericht\Research_Prompts_Entities_Obsidian.md","quelle","Legacy_bericht_Research_Prompts_Entities_Obsidian.","quelle/Legacy_bericht_Research_Prompts_Entities_Obsidian.","_graph\quelle\Legacy_bericht_Research_Prompts_Entities_Obsidian.\index.md","archive_or_source"
"bericht\Ueberblick_Entwerfen_mit_Bestand_Kurzfassung.md","quelle","Legacy_bericht_Ueberblick_Entwerfen_mit_Bestand_Kurzfassung.","quelle/Legacy_bericht_Ueberblick_Entwerfen_mit_Bestand_Kurzfassung.","_graph\quelle\Legacy_bericht_Ueberblick_Entwerfen_mit_Bestand_Kurzfassung.\index.md","archive_or_source"
"datenmodell.md","quelle","Legacy_datenmodell.","quelle/Legacy_datenmodell.","_graph\quelle\Legacy_datenmodell.\index.md","merge_into_index"
"datenmodell\index.md","quelle","Legacy_datenmodell_index.","quelle/Legacy_datenmodell_index.","_graph\quelle\Legacy_datenmodell_index.\index.md","merge_into_index"
"dokument.md","quelle","Legacy_dokument.","quelle/Legacy_dokument.","_graph\quelle\Legacy_dokument.\index.md","merge_into_index"
