"source","relation","target","raw_label","legacy_path","proposed_action","proposed_target","proposed_relation","proposal_confidence","reviewer_note"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__007__Garagentor","has_bauteiltyp","bauteiltyp/Bauwerksteil","Garagentor","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","approve_move","bauteiltyp/Tuer","has_bauteiltyp","REVIEW","Door/gate-like component; verify if it is actually a whole facade/object."
"reuse_einsatz/Grande_Halle_de_Colombelles__011__Bestand_Betonstruktur","has_bauteiltyp","bauteiltyp/Bauwerksteil","Bestand-Betonstruktur","Gebäude\Grande_Halle_de_Colombelles.md","approve_split","tragwerkstyp/Ortbetontragwerk; tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp; has_tragwerksprinzip","REVIEW","This is structural object/system scale, not a reusable component family."
"reuse_einsatz/Holbein_Gardens_London__003__bestehender_Betonrahmen","has_bauteiltyp","bauteiltyp/Bauwerksteil","bestehender Betonrahmen","Gebäude\Holbein_Gardens_London.md","approve_split","tragwerkstyp/Ortbetontragwerk; tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp; has_tragwerksprinzip","REVIEW","This is structural object/system scale, not a reusable component family."
"reuse_einsatz/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__004__Retained_1990s_concrete_frame_TBC","has_bauteiltyp","bauteiltyp/Bauwerksteil","Retained 1990s concrete frame TBC","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","approve_split","tragwerkstyp/Ortbetontragwerk; tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp; has_tragwerksprinzip","REVIEW","This is structural object/system scale, not a reusable component family."
"reuse_einsatz/Recyclinghaus_Hannover__013__Rohbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","Rohbau","Gebäude\Recyclinghaus_Hannover.md","approve_split","tragwerkstyp/Ortbetontragwerk; tragwerksprinzip/Skeletttragwerk","has_tragwerkstyp; has_tragwerksprinzip","REVIEW","This is structural object/system scale, not a reusable component family."
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__011__Bestand_Block_6000","has_bauteiltyp","bauteiltyp/Bauwerksteil","Bestand Block 6000","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md","delete_or_object_relation","bauobjekt/*","relates_to_bauobjekt","REVIEW","Whole object/building-part scale; model as bauobjekt or bauobjekt_beteiligung, not bauteiltyp."
"reuse_einsatz/Liander_Alliander_HQ_Duiven__001__Bestandsgeb_ude_Hauptstruktur","has_bauteiltyp","bauteiltyp/Bauwerksteil","Bestandsgebäude / Hauptstruktur","Gebäude\Liander_Alliander_HQ_Duiven.md","delete_or_object_relation","bauobjekt/*","relates_to_bauobjekt","REVIEW","Whole object/building-part scale; model as bauobjekt or bauobjekt_beteiligung, not bauteiltyp."
"reuse_einsatz/55_Great_Suffolk_Street_London__004__Bestandslagerhaus","has_bauteiltyp","bauteiltyp/Bauwerksteil","Bestandslagerhaus","Gebäude\55_Great_Suffolk_Street_London.md","delete_or_object_relation","bauobjekt/*","relates_to_bauobjekt","REVIEW","Whole object/building-part scale; model as bauobjekt or bauobjekt_beteiligung, not bauteiltyp."
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__007__Concrete_block_garage_wing","has_bauteiltyp","bauteiltyp/Bauwerksteil","Concrete-block garage wing","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","delete_or_object_relation","bauobjekt/*","relates_to_bauobjekt","REVIEW","Whole object/building-part scale; model as bauobjekt or bauobjekt_beteiligung, not bauteiltyp."
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__005__Garage_Schuppen_Au_enmauern","has_bauteiltyp","bauteiltyp/Bauwerksteil","Garage / Schuppen / Außenmauern","Gebäude\Berlin_Schildow_Pilot_House_2.md","delete_or_object_relation","bauobjekt/*","relates_to_bauobjekt","REVIEW","Whole object/building-part scale; model as bauobjekt or bauobjekt_beteiligung, not bauteiltyp."
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_bauteiltyp","bauteiltyp/Bauwerksteil","gesamtes Pavillonensemble","Gebäude\Christ_Pavilion_Volkenroda.md","delete_or_object_relation","bauobjekt/*","relates_to_bauobjekt","REVIEW","Whole object/building-part scale; model as bauobjekt or bauobjekt_beteiligung, not bauteiltyp."
"reuse_einsatz/Christ_Pavilion_Volkenroda__005__Kreuzgang","has_bauteiltyp","bauteiltyp/Bauwerksteil","Kreuzgang","Gebäude\Christ_Pavilion_Volkenroda.md","delete_or_object_relation","bauobjekt/*","relates_to_bauobjekt","REVIEW","Whole object/building-part scale; model as bauobjekt or bauobjekt_beteiligung, not bauteiltyp."
"reuse_einsatz/Christ_Pavilion_Volkenroda__008__Krypta_Kolonnade_Wasserbecken","has_bauteiltyp","bauteiltyp/Bauwerksteil","Krypta, Kolonnade, Wasserbecken","Gebäude\Christ_Pavilion_Volkenroda.md","delete_or_object_relation","bauobjekt/*","relates_to_bauobjekt","REVIEW","Whole object/building-part scale; model as bauobjekt or bauobjekt_beteiligung, not bauteiltyp."
"reuse_einsatz/Europa_Building_Brussels__003__Residence_Palace_Bestand","has_bauteiltyp","bauteiltyp/Bauwerksteil","Residence Palace Bestand","Gebäude\Europa_Building_Brussels.md","delete_or_object_relation","bauobjekt/*","relates_to_bauobjekt","REVIEW","Whole object/building-part scale; model as bauobjekt or bauobjekt_beteiligung, not bauteiltyp."
"reuse_einsatz/Hastings_Pier_Visitor_Centre__006__viktorianischer_Pavillon","has_bauteiltyp","bauteiltyp/Bauwerksteil","viktorianischer Pavillon","Gebäude\Hastings_Pier_Visitor_Centre.md","delete_or_object_relation","bauobjekt/*","relates_to_bauobjekt","REVIEW","Whole object/building-part scale; model as bauobjekt or bauobjekt_beteiligung, not bauteiltyp."
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__006__Betriebsgeb_ude","has_bauteiltyp","bauteiltyp/Bauwerksteil","Betriebsgebäude","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
"reuse_einsatz/Europa_Building_Brussels__002__Glas_Stahlw_rfel","has_bauteiltyp","bauteiltyp/Bauwerksteil","Glas-/Stahlwürfel","Gebäude\Europa_Building_Brussels.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__004__Glasgang","has_bauteiltyp","bauteiltyp/Bauwerksteil","Glasgang","Gebäude\Lo_Reninge_Town_Hall_Facade.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
"reuse_einsatz/Ferme_du_Rail_Paris__011__Holz_Strohbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","Holz-/Strohbau","Gebäude\Ferme_du_Rail_Paris.md","keep_review","","","REVIEW_REQUIRED","Bauweise/material bundle, not a component type; decide whether to model as material, bauweise, or bauobjekt context."
"reuse_einsatz/Impact_Hub_Berlin_CRCLR_Fitout__006__Holzgalerie","has_bauteiltyp","bauteiltyp/Bauwerksteil","Holzgalerie","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","Holzgalerie / Innenausbau","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
"reuse_einsatz/Maison_DnA_Asse__003__innere_Box","has_bauteiltyp","bauteiltyp/Bauwerksteil","innere Box","Gebäude\Maison_DnA_Asse.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__008__Observatoriumskuppel","has_bauteiltyp","bauteiltyp/Bauwerksteil","Observatoriumskuppel","Gebäude\Svanen_Kindergarten_Gladsaxe.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
