"source","relation","target","raw_label","review_reason","existing_clean_edges","legacy_path","proposed_action","proposed_target","proposed_relation","proposal_confidence","reviewer_note"
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","measured_on_bauobjekt","bauobjekt/ELYS_Kultur_Gewerbehaus_Basel","ELYS_Kultur_Gewerbehaus_Basel","source_manual_review","","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","keep_review_convert_datapoint","","","REVIEW_REQUIRED","This source is not a clean datapoint yet. Create a real datenpunkt only if the source provides value, unit, metric, and scope; then reconnect fallstudie/projekt/bauobjekt/kennwertdefinition."
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","measured_on_bauobjekt","bauobjekt/Timber_Square_London","Timber_Square_London","source_manual_review","","Gebäude\Timber_Square_London.md","keep_review_convert_datapoint","","","REVIEW_REQUIRED","This source is not a clean datapoint yet. Create a real datenpunkt only if the source provides value, unit, metric, and scope; then reconnect fallstudie/projekt/bauobjekt/kennwertdefinition."
"reuse_einsatz/Plattenpalast_Berlin__004__Plattenauflager","has_bauteiltyp","bauteiltyp/Auflager_Widerlager","Plattenauflager","target_manual_review","belongs_to_fallstudie->fallstudie/Plattenpalast_Berlin; belongs_to_projekt->projekt/Plattenpalast_Berlin; has_bauteiltyp->bauteiltyp/Platte_Paneel; has_huerde->huerde/Toleranzen; installed_in_bauobjekt->bauobjekt/Plattenpalast_Berlin","Gebäude\Plattenpalast_Berlin.md","candidate_review_component_or_connection","bauteiltyp/Fundament or fuegung_verbindung/*","has_bauteiltyp or has_fuegung_verbindung","REVIEW","Plate support may be support detail, foundation/support component, or connection context."
"reuse_einsatz/ReCrete_footbridge_reused_concrete_blocks__003__Widerlager_Auflager","has_bauteiltyp","bauteiltyp/Auflager_Widerlager","Widerlager / Auflager","target_manual_review","belongs_to_fallstudie->fallstudie/ReCrete_footbridge_reused_concrete_blocks; belongs_to_projekt->projekt/ReCrete_footbridge_reused_concrete_blocks; has_huerde->huerde/Fehlende_Lagerflaeche; has_huerde->huerde/Toleranzen; has_pruefung_nachweis->pruefung_nachweis/Materialpruefung; installed_in_bauobjekt->bauobjekt/ReCrete_footbridge_reused_concrete_blocks","Gebäude\ReCrete_footbridge_reused_concrete_blocks.md","keep_review_infrastructure_support","","","REVIEW_REQUIRED","Abutment/support is infrastructure/foundation scale; current clean bauteiltyp may not cover it."
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","belongs_to_fallstudie","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","source_manual_review","","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","keep_review_convert_datapoint","","","REVIEW_REQUIRED","This source is not a clean datapoint yet. Create a real datenpunkt only if the source provides value, unit, metric, and scope; then reconnect fallstudie/projekt/bauobjekt/kennwertdefinition."
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","belongs_to_fallstudie","fallstudie/Timber_Square_London","fallstudie/Timber_Square_London","source_manual_review","","Gebäude\Timber_Square_London.md","keep_review_convert_datapoint","","","REVIEW_REQUIRED","This source is not a clean datapoint yet. Create a real datenpunkt only if the source provides value, unit, metric, and scope; then reconnect fallstudie/projekt/bauobjekt/kennwertdefinition."
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","measures_kennwertdefinition","kennwertdefinition/Bauteilanzahl","Fenster","source_manual_review","","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","keep_review_convert_datapoint","","","REVIEW_REQUIRED","This source is not a clean datapoint yet. Create a real datenpunkt only if the source provides value, unit, metric, and scope; then reconnect fallstudie/projekt/bauobjekt/kennwertdefinition."
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","measures_kennwertdefinition","kennwertdefinition/Materialmenge","Wiederverwendete Stahlträger","source_manual_review","","Gebäude\Timber_Square_London.md","keep_review_convert_datapoint","","","REVIEW_REQUIRED","This source is not a clean datapoint yet. Create a real datenpunkt only if the source provides value, unit, metric, and scope; then reconnect fallstudie/projekt/bauobjekt/kennwertdefinition."
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","measures_kennwertdefinition","kennwertdefinition/Wiederverwendungsquote","Wiederverwendete Stahlträger","source_manual_review","","Gebäude\Timber_Square_London.md","keep_review_convert_datapoint","","","REVIEW_REQUIRED","This source is not a clean datapoint yet. Create a real datenpunkt only if the source provides value, unit, metric, and scope; then reconnect fallstudie/projekt/bauobjekt/kennwertdefinition."
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__003__BTC_Ziegel","uses_material","material/Erde","gepresste Erde","target_manual_review","belongs_to_fallstudie->fallstudie/Resilience_La_Ferme_des_Possibles_Stains; belongs_to_projekt->projekt/Resilience_La_Ferme_des_Possibles_Stains; has_huerde->huerde/Datenluecke; installed_in_bauobjekt->bauobjekt/Resilience_La_Ferme_des_Possibles_Stains; uses_material->material/Ziegel","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","candidate_move","material/Lehm","uses_material","REVIEW","Compressed earth/block context likely maps to Lehm, but verify source terminology."
