evidence_id,url,name,quote,confidence,basis,graph_status,recommended_action
q_url_new_de_bauteilnetz_partners,http://www.bauteilnetz.de/bauteilnetz/website/stdws_adresse/bauteilboersen.html,bauteilnetz regional Bauteilbörsen,bremen and hannover listed as partner Bauteilbörsen,belegt,standards_network_registry,not_in_graph,add_quelle; link hannover+bremen to bauteilnetz_deutschland
q_url_new_de_restado_kooperation,https://restado.de/ueber-restado/kooperation/,restado Kooperation,Bauteilnetz / Bauteilbörsen Deutschland u.a. Hannover,belegt,first_party_marketplace,not_in_graph,add_quelle; upgrade concular-hannover-bremen chain
q_url_new_de_restado_home,https://restado.de/,restado homepage,cooperates with local Bauteilbörsen including Hannover,belegt,first_party_marketplace,not_in_graph,add_quelle
q_url_new_de_kunst_stoffe_hdm,https://kunst-stoffe-berlin.de/haus-der-materialisierung/,Kunst-Stoffe HdM centre,operates Zentrum für klimaschonende Ressourcennutzung im Haus der Materialisierung,belegt,first_party_operator_page,in_graph_actor_only,link kunst_stoffe_ev to haus_der_materialisierung
q_url_new_de_dbu_hdm_reallabor,https://www.dbu.de/projektdatenbank/35122-01/,DBU Reallabor HdM,funded Reallabor at Haus der Materialisierung 2019-2023,belegt,public_funder_registry,not_in_graph,add_quelle; support material_mafia + circular_city edges
q_url_new_de_tu_hdm_de,https://www.tu.berlin/circulareconomy/forschung/hdm,TU Berlin HdM (DE),consortium: TU Berlin ZKB Material Mafia Circular City,belegt,university_research_page,partial,add BELEGT_IN tu_berlin; material_mafia import
q_url_new_de_boell_concular_restado,https://www.boell.de/de/2025/07/09/nachhaltiges-bauen-umbau-baustoffe/bauteile-recycling,Heinrich Böll Stiftung,shared-founder ecosystem restado and Concular,belegt,independent_journalism,not_in_graph,add_quelle; corroborate concular-restado-hannover
q_url_new_de_hdm_remap,https://www.remap-berlin.de/projekte/1324,ReMap Berlin HdM,public-sector project description of HdM material centre,belegt,public_programme_listing,not_in_graph,add_quelle optional
q_url_new_de_dgnb_passport_providers,https://www.dgnb.de/en/sustainable-building/circular-building/building-resource-passport,DGNB passport providers,Madaster and Concular as parallel passport tool providers,teilweise_belegt,standards_body,not_in_graph,relabel concular-madaster as ecosystem_peer not partnership
q_url_new_de_zku_hdm_book,https://www.zku-berlin.org/nc/de/publishing/haus-der-materialisierung/,ZKU HdM publication,independent book on HdM transformation site,belegt,independent_cultural_institution,not_in_graph,optional BELEGT_IN hdM
