label,property,nodes,coverage_pct,types,verdict,reason,sample
DataIssue,description,28729,79.52,str:22846,meta_separate,audit/meta label; handled in the meta-node decision,Legacy :ZITIERT_QUELLE did not terminate in a URL and was retired during URL tra
DataIssue,end_id,28729,72.27,str:20762,meta_separate,audit/meta label; handled in the meta-node decision,q_schaerenmoosstrasse_zuerich_projekt_menage_a_trois_md || q_umar_unit_nest_empa
DataIssue,evidence_excerpt_preview,28729,9.9,str:2843,meta_separate,audit/meta label; handled in the meta-node decision,Entität: People | Wert: Lendager | Beziehung zur Fallstudie: Architekt / zirkulä
DataIssue,evidence_origin,28729,72.01,str:20687,meta_separate,audit/meta label; handled in the meta-node decision,topology_synthesized || source_curated || inferred || registry_derived
DataIssue,evidence_source_id,28729,71.78,str:20621,meta_separate,audit/meta label; handled in the meta-node decision,mig_4_1 || batch2_v2_phase27_2026-05-20 || r2_b_journal_edge_restore || archive:
DataIssue,id,28729,100.0,str:28729,keep_core,"identity (meta label, separate decision)",di_no_match__6976182475424798415 || di_no_match__6978434275238483663 || di_no_ma
DataIssue,invalid_source_url,28729,0.25,str:72,meta_separate,audit/meta label; handled in the meta-node decision,https://alb || https://arc || https://b || https://bimtec
DataIssue,kind,28729,100.0,str:28729,meta_separate,audit/meta label; handled in the meta-node decision,citation_no_text_match || excessive_sources_on_node || node_with_no_source || no
DataIssue,legacy_rel_element_id,28729,0.01,str:3,meta_separate,audit/meta label; handled in the meta-node decision,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153029256746370294 || 5:5f542910-8dcf-46
DataIssue,message,28729,3.17,str:911,meta_separate,audit/meta label; handled in the meta-node decision,No source URLs found via citation graph for Marktmodell node: mm_kauf_neu || No 
DataIssue,ref_id,28729,24.13,str:6932,meta_separate,audit/meta label; handled in the meta-node decision,6976182475424798415 || 6978434275238483663 || 6980686075052168911 || 69829378748
DataIssue,rel_element_id,28729,72.26,str:20759,meta_separate,audit/meta label; handled in the meta-node decision,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152984176769630215 || 5:5f542910-8dcf-46
DataIssue,rel_type,28729,76.6,str:22006,meta_separate,audit/meta label; handled in the meta-node decision,NUTZT_BAUWERK || HAT_STATUS || HAT_NUTZUNG || HAT_WIEDERVERWENDUNGSART
