sidecar_key,reltype,from_id,to_id,confidence,source_url,review_status
rel:BETEILIGT_AN:baukarussell->bg_holz_wand_medunicampus_doors_as_cladding,BETEILIGT_AN,baukarussell,bg_holz_wand_medunicampus_doors_as_cladding,0.4,,needs_source_url_review
rel:BETEILIGT_AN:baukarussell->bg_mehrere_technik_medunicampus_paternoster,BETEILIGT_AN,baukarussell,bg_mehrere_technik_medunicampus_paternoster,0.4,,needs_source_url_review
rel:BETEILIGT_AN:bauteilboerse_basel_overall->bg_mineralisch_wand_elementa_baufeld_d,BETEILIGT_AN,bauteilboerse_basel_overall,bg_mineralisch_wand_elementa_baufeld_d,0.4,,needs_source_url_review
rel:BETEILIGT_AN:bauteilladen_winterthur->bg_mehrere_dach_grubenstrasse_sheets,BETEILIGT_AN,bauteilladen_winterthur,bg_mehrere_dach_grubenstrasse_sheets,0.4,,needs_source_url_review
rel:BETEILIGT_AN:bauteilladen_winterthur->bg_mehrere_mehrere_grubenstrasse_windows_doors,BETEILIGT_AN,bauteilladen_winterthur,bg_mehrere_mehrere_grubenstrasse_windows_doors,0.4,,needs_source_url_review
rel:BETEILIGT_AN:bauteilladen_winterthur->bg_mehrere_technik_grubenstrasse_radiators_sanitary,BETEILIGT_AN,bauteilladen_winterthur,bg_mehrere_technik_grubenstrasse_radiators_sanitary,0.4,,needs_source_url_review
rel:BETEILIGT_AN:bauteilladen_winterthur->bg_stahl_mehrere_grubenstrasse_access_structures,BETEILIGT_AN,bauteilladen_winterthur,bg_stahl_mehrere_grubenstrasse_access_structures,0.4,,needs_source_url_review
rel:BETEILIGT_AN:bauteilladen_winterthur->bg_stahl_treppe_grubenstrasse_outer,BETEILIGT_AN,bauteilladen_winterthur,bg_stahl_treppe_grubenstrasse_outer,0.4,,needs_source_url_review
rel:BETEILIGT_AN:cleveland_steel_tubes->bg_stahl_fassade_brent_cross_new_support_members,BETEILIGT_AN,cleveland_steel_tubes,bg_stahl_fassade_brent_cross_new_support_members,0.4,,needs_source_url_review
rel:BETEILIGT_AN:cleveland_steel_tubes->bg_stahl_mehrere_hof_1930s_beams_to_tbc,BETEILIGT_AN,cleveland_steel_tubes,bg_stahl_mehrere_hof_1930s_beams_to_tbc,0.4,,needs_source_url_review
rel:BETEILIGT_AN:cleveland_steel_tubes->bg_stahl_mehrere_hof_self_columns,BETEILIGT_AN,cleveland_steel_tubes,bg_stahl_mehrere_hof_self_columns,0.4,,needs_source_url_review
rel:BETEILIGT_AN:cleveland_steel_tubes->bg_stahl_mehrere_holbein_structural,BETEILIGT_AN,cleveland_steel_tubes,bg_stahl_mehrere_holbein_structural,0.4,,needs_source_url_review
rel:BETEILIGT_AN:cleveland_steel_tubes->bg_stahl_mehrere_tbc_repurposed_cleveland,BETEILIGT_AN,cleveland_steel_tubes,bg_stahl_mehrere_tbc_repurposed_cleveland,0.4,,needs_source_url_review
